"";"M22_node_2391";"M22_node_1440";"M22_node_1434";"M22_node_1781";"M22_node_2281";"M22_node_607";"M22_node_97";"M22_node_1021";"M22_node_1425";"M22_node_1502";"M22_node_1981";"M22_node_2255";"M22_node_2380";"M22_node_465";"M22_node_777";"M22_node_2246";"M22_node_2314";"M22_node_2275";"M22_node_2419";"M22_node_2472";"M22_node_1437";"M22_node_1224";"M22_node_1638";"M22_node_1377";"M22_node_724";"M22_node_470";"M22_node_2247";"M22_node_2515"
"M22_node_508";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_281";1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_242";1;1;0;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_312";1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;1;0;0
"M22_node_422";1;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1
"M22_node_505";1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_417";1;1;0;1;1;0;1;1;0;0;1;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0
"M22_node_761";0;1;0;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"M22_node_771";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"M22_node_2237";1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_1241";1;1;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
"M22_node_1345";1;0;1;1;1;1;1;0;0;0;1;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0
"M22_node_1475";1;1;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
"M22_node_1491";1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_1890";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_2034";1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0
"M22_node_2089";0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"M22_node_2155";1;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"M22_node_343";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"M22_node_811";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
