"";"P22_node_9457";"P22_node_9763";"P22_node_9704";"P22_node_9339";"P22_node_9705";"P22_node_9764";"P22_node_5354";"P22_node_9707";"P22_node_9709";"P22_node_9766";"P22_node_9711";"P22_node_9712";"P22_node_9713";"P22_node_9714";"P22_node_9715";"P22_node_9859";"P22_node_9716";"P22_node_9768";"P22_node_9717";"P22_node_9718";"P22_node_9719";"P22_node_9720";"P22_node_9860";"P22_node_9861";"P22_node_9723";"P22_node_9724";"P22_node_9727";"P22_node_9728";"P22_node_9729";"P22_node_9786";"P22_node_9733";"P22_node_9787";"P22_node_9788";"P22_node_9734";"P22_node_9827";"P22_node_9737";"P22_node_9738";"P22_node_9862";"P22_node_9703";"P22_node_5612";"P22_node_8857";"P22_node_9771";"P22_node_9772";"P22_node_9773";"P22_node_9774";"P22_node_9792";"P22_node_9741";"P22_node_9742";"P22_node_9743";"P22_node_9744";"P22_node_9747";"P22_node_9863";"P22_node_9749";"P22_node_9750";"P22_node_9864";"P22_node_9796";"P22_node_9751";"P22_node_9752";"P22_node_9753";"P22_node_9857";"P22_node_9798";"P22_node_9835";"P22_node_9757";"P22_node_9759";"P22_node_9760";"P22_node_9761";"P22_node_9777";"P22_node_9762"
"P22_node_1587";0;1;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"P22_node_1593";1;1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0
"P22_node_1608";1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1589";1;1;0;1;1;1;1;1;0;0;1;0;0;1;1;1;0;1;0;1;1;0;1;1;1;1;1;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;1;1;1;0;0;0;1;1;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0
"P22_node_1594";1;1;1;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;1;0;1
"P22_node_1654";1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"P22_node_1612";0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"P22_node_1586";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1588";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1666";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1637";1;1;1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1590";0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
