"";"AI22_node_411";"AI22_node_2805";"AI22_node_307";"AI22_node_171";"AI22_node_209";"AI22_node_294";"AI22_node_319";"AI22_node_851";"AI22_node_1051";"AI22_node_2509";"AI22_node_2644";"AI22_node_2773";"AI22_node_3038";"AI22_node_1398";"AI22_node_335";"AI22_node_330";"AI22_node_501";"AI22_node_849";"AI22_node_857";"AI22_node_861";"AI22_node_2167";"AI22_node_2276";"AI22_node_2329";"AI22_node_2330";"AI22_node_2332";"AI22_node_2336";"AI22_node_2573";"AI22_node_3126";"AI22_node_3129";"AI22_node_409";"AI22_node_2798";"AI22_node_3124";"AI22_node_3130";"AI22_node_83";"AI22_node_300";"AI22_node_329";"AI22_node_407";"AI22_node_1112";"AI22_node_1125";"AI22_node_1774";"AI22_node_2474";"AI22_node_3115";"AI22_node_661";"AI22_node_3149";"AI22_node_234";"AI22_node_252";"AI22_node_633";"AI22_node_856";"AI22_node_863";"AI22_node_865";"AI22_node_1638";"AI22_node_1639";"AI22_node_2441";"AI22_node_3184";"AI22_node_494";"AI22_node_328";"AI22_node_3355";"AI22_node_306";"AI22_node_2632";"AI22_node_208";"AI22_node_767";"AI22_node_768";"AI22_node_841";"AI22_node_855";"AI22_node_872";"AI22_node_873";"AI22_node_994";"AI22_node_1000";"AI22_node_1641";"AI22_node_1771";"AI22_node_2041";"AI22_node_2157";"AI22_node_2867";"AI22_node_2868";"AI22_node_2967";"AI22_node_3081";"AI22_node_3083";"AI22_node_3147";"AI22_node_3218";"AI22_node_3351";"AI22_node_636";"AI22_node_1772";"AI22_node_1780";"AI22_node_3132";"AI22_node_403";"AI22_node_678";"AI22_node_3152";"AI22_node_3207";"AI22_node_2342";"AI22_node_2344";"AI22_node_2345";"AI22_node_2709";"AI22_node_2748";"AI22_node_3213";"AI22_node_2334";"AI22_node_3128"
"AI22_node_12";1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_384";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_417";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_758";1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_829";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_1026";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_1488";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_1835";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_2105";0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_2112";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
