"";"WOL_node_6334";"WOL_node_2026";"WOL_node_4668";"WOL_node_10194";"WOL_node_11648";"WOL_node_11008";"WOL_node_15287";"WOL_node_11320";"WOL_node_15284";"WOL_node_15288";"WOL_node_10997";"WOL_node_6023";"WOL_node_2068";"WOL_node_4459";"WOL_node_12703";"WOL_node_4566";"WOL_node_5314";"WOL_node_6026";"WOL_node_5378"
"WOL_node_4736";1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_770";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_5704";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_9565";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_12152";0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_1700";0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_1706";0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0
"WOL_node_1710";0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_649";0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0
"WOL_node_6709";1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_6810";1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
"WOL_node_2662";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_4729";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_10769";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_1031";0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;0
"WOL_node_4619";1;1;1;1;1;0;1;0;1;0;0;0;1;0;0;1;0;1;1
"WOL_node_15467";0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_4400";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_4708";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_11216";0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_2930";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_5885";0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_7720";1;1;1;1;0;1;1;0;0;1;0;1;0;0;0;0;1;0;0
"WOL_node_11159";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_11722";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_12176";1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
