"";"P22_node_5592";"P22_node_5593";"P22_node_5594";"P22_node_5595";"P22_node_5596";"P22_node_5354";"P22_node_5597";"P22_node_5598";"P22_node_5599";"P22_node_5600";"P22_node_5601";"P22_node_5602";"P22_node_5603";"P22_node_5604";"P22_node_5605";"P22_node_5606";"P22_node_5607";"P22_node_5608";"P22_node_5609";"P22_node_5610";"P22_node_5611";"P22_node_5612";"P22_node_5613";"P22_node_5614";"P22_node_5615";"P22_node_5616";"P22_node_5617";"P22_node_5618";"P22_node_5619";"P22_node_5620";"P22_node_5621";"P22_node_5622";"P22_node_5623";"P22_node_5624";"P22_node_5198";"P22_node_5625";"P22_node_5626";"P22_node_5627"
"P22_node_240";0;1;0;0;1;1;0;1;0;0;0;1;1;0;1;1;1;0;0;1;1;0;1;1;0;0;0;1;0;1;0;0;1;1;1;0;0;0
"P22_node_241";1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0
"P22_node_242";0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;1;1;0;1;0;0;1;1;0;0
"P22_node_243";1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_244";1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0
"P22_node_245";1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"P22_node_246";1;0;0;0;0;0;1;0;1;1;0;0;1;0;1;0;0;1;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0
"P22_node_247";0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"P22_node_248";0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0
"P22_node_249";1;1;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"P22_node_250";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
