"";"P22_node_5628";"P22_node_5629";"P22_node_5630";"P22_node_5631";"P22_node_5632";"P22_node_5633";"P22_node_5634";"P22_node_5635";"P22_node_5636";"P22_node_5637";"P22_node_5638";"P22_node_5639";"P22_node_5640";"P22_node_5641";"P22_node_5642";"P22_node_5643";"P22_node_5644";"P22_node_5645";"P22_node_5646";"P22_node_5647";"P22_node_5648";"P22_node_5649";"P22_node_5650";"P22_node_5651";"P22_node_5652";"P22_node_5653";"P22_node_5654";"P22_node_5655";"P22_node_5656";"P22_node_5657";"P22_node_5658";"P22_node_5659";"P22_node_5660";"P22_node_5661";"P22_node_5662";"P22_node_5663";"P22_node_5664";"P22_node_5665";"P22_node_5666";"P22_node_5667";"P22_node_5668";"P22_node_5669";"P22_node_5670";"P22_node_5671";"P22_node_5672";"P22_node_5673";"P22_node_5674";"P22_node_5675";"P22_node_5676";"P22_node_5677";"P22_node_5678";"P22_node_5679";"P22_node_5680";"P22_node_5681";"P22_node_5682";"P22_node_5683";"P22_node_5684";"P22_node_5685";"P22_node_5686";"P22_node_5687";"P22_node_5688";"P22_node_5689";"P22_node_5690";"P22_node_5691";"P22_node_5692";"P22_node_5693";"P22_node_5694";"P22_node_5695";"P22_node_5696";"P22_node_5697";"P22_node_5698";"P22_node_5699";"P22_node_5700";"P22_node_5701";"P22_node_5702";"P22_node_5703";"P22_node_5704";"P22_node_5705";"P22_node_5706";"P22_node_5707";"P22_node_5708";"P22_node_5709";"P22_node_5710";"P22_node_5711";"P22_node_5712";"P22_node_5713";"P22_node_5714";"P22_node_5715";"P22_node_5716";"P22_node_5717";"P22_node_5718";"P22_node_5719";"P22_node_5720";"P22_node_5721";"P22_node_5722";"P22_node_5723";"P22_node_5724";"P22_node_5725";"P22_node_5726";"P22_node_5727";"P22_node_5728";"P22_node_5729";"P22_node_5730";"P22_node_5731";"P22_node_5732";"P22_node_5733";"P22_node_5734";"P22_node_5735";"P22_node_5736";"P22_node_5737";"P22_node_5738";"P22_node_5739";"P22_node_5740";"P22_node_5741";"P22_node_5742";"P22_node_5743";"P22_node_5744";"P22_node_5745"
"P22_node_251";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
"P22_node_252";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0;1
"P22_node_253";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_254";0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0
"P22_node_214";0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_255";0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"P22_node_256";0;1;0;0;0;0;1;1;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0
"P22_node_257";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_258";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
"P22_node_259";0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1
