"";"P22_node_5544";"P22_node_9870";"P22_node_13054";"P22_node_6101";"P22_node_13049";"P22_node_13048";"P22_node_5759";"P22_node_5354";"P22_node_10231";"P22_node_8993";"P22_node_8783";"P22_node_6964";"P22_node_6966";"P22_node_8997";"P22_node_8954";"P22_node_8956";"P22_node_6967";"P22_node_9011";"P22_node_5802";"P22_node_5859";"P22_node_6971";"P22_node_13056";"P22_node_9928";"P22_node_5853";"P22_node_7016";"P22_node_7022";"P22_node_6609";"P22_node_12041";"P22_node_5912";"P22_node_8908";"P22_node_5198"
"P22_node_257";0;1;0;0;0;1;0;1;1;0;0;1;1;0;0;0;1;1;1;0;0;0;1;0;1;1;0;1;1;1;1
"P22_node_3191";0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0
"P22_node_396";1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
"P22_node_3331";0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"P22_node_3313";0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1363";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3241";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_151";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0
"P22_node_1302";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"P22_node_302";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
