"";"D22net33_col_1";"D22net33_col_2";"D22net33_col_5";"D22net33_col_6";"D22net33_col_7";"D22net33_col_10";"D22net33_col_16";"D22net33_col_17";"D22net33_col_18";"D22net33_col_20";"D22net33_col_23";"D22net33_col_28";"D22net33_col_36";"D22net33_col_38";"D22net33_col_4";"D22net33_col_8";"D22net33_col_13";"D22net33_col_26";"D22net33_col_29";"D22net33_col_31";"D22net33_col_33";"D22net33_col_37";"D22net33_col_11";"D22net33_col_12";"D22net33_col_30";"D22net33_col_32";"D22net33_col_19";"D22net33_col_22";"D22net33_col_25";"D22net33_col_15";"D22net33_col_14";"D22net33_col_27";"D22net33_col_35";"D22net33_col_9";"D22net33_col_39";"D22net33_col_21"
"D22net33_row_1";1;1;1;1;1;0;1;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0
"D22net33_row_2";1;1;1;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0
"D22net33_row_3";1;1;0;1;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1
"D22net33_row_4";0;1;0;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0
"D22net33_row_5";1;1;1;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"D22net33_row_6";1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0
"D22net33_row_7";0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"D22net33_row_8";0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"D22net33_row_9";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"D22net33_row_10";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
