"";"P22_node_14820";"P22_node_7145";"P22_node_14821";"P22_node_8759";"P22_node_14822";"P22_node_14823";"P22_node_14824";"P22_node_14825";"P22_node_14826";"P22_node_14827";"P22_node_8875";"P22_node_14828";"P22_node_10620";"P22_node_12615";"P22_node_14829";"P22_node_14830";"P22_node_14831";"P22_node_14832";"P22_node_14833";"P22_node_14834";"P22_node_14835";"P22_node_13623";"P22_node_14836";"P22_node_5912";"P22_node_8908";"P22_node_10626";"P22_node_5753";"P22_node_14837";"P22_node_14838";"P22_node_14839";"P22_node_14840";"P22_node_14841";"P22_node_14842";"P22_node_14843";"P22_node_14844";"P22_node_14845";"P22_node_5763";"P22_node_14846";"P22_node_5354";"P22_node_14847";"P22_node_14848";"P22_node_14849";"P22_node_14850";"P22_node_14851";"P22_node_14852";"P22_node_6967";"P22_node_14853";"P22_node_14854";"P22_node_14855";"P22_node_14856";"P22_node_14857";"P22_node_14858";"P22_node_14859";"P22_node_14860";"P22_node_14861";"P22_node_14862";"P22_node_14863";"P22_node_14864";"P22_node_14865";"P22_node_14866";"P22_node_14867";"P22_node_14868";"P22_node_14869";"P22_node_14870";"P22_node_9027";"P22_node_5783";"P22_node_14871";"P22_node_14872";"P22_node_5799";"P22_node_14873";"P22_node_14874";"P22_node_14875";"P22_node_14876";"P22_node_14877";"P22_node_14878";"P22_node_14879";"P22_node_14880";"P22_node_14881";"P22_node_14882";"P22_node_14883";"P22_node_12938";"P22_node_14884";"P22_node_14885";"P22_node_14886";"P22_node_14887";"P22_node_14888";"P22_node_14889";"P22_node_14890";"P22_node_14891";"P22_node_14892";"P22_node_5859";"P22_node_14893";"P22_node_14894";"P22_node_14895";"P22_node_14896";"P22_node_14897";"P22_node_14898";"P22_node_14899";"P22_node_14900";"P22_node_5808";"P22_node_13037";"P22_node_14901";"P22_node_14902";"P22_node_14903";"P22_node_14904";"P22_node_14905";"P22_node_14906";"P22_node_14907";"P22_node_14908";"P22_node_14909";"P22_node_10671";"P22_node_8848";"P22_node_12627";"P22_node_14910";"P22_node_14911";"P22_node_14912";"P22_node_5842";"P22_node_14913";"P22_node_5849";"P22_node_14914";"P22_node_13898";"P22_node_14915";"P22_node_14916";"P22_node_14917";"P22_node_14918";"P22_node_14919";"P22_node_14920";"P22_node_14921";"P22_node_14922";"P22_node_14923";"P22_node_14924";"P22_node_14925";"P22_node_14926";"P22_node_12959";"P22_node_8887";"P22_node_9192";"P22_node_5870";"P22_node_14927";"P22_node_14928";"P22_node_14929";"P22_node_5876";"P22_node_14930";"P22_node_14931";"P22_node_14932";"P22_node_8892";"P22_node_14933";"P22_node_12948";"P22_node_14934";"P22_node_14935";"P22_node_13924";"P22_node_14936";"P22_node_5295";"P22_node_14937";"P22_node_14938";"P22_node_14939";"P22_node_7023";"P22_node_14940";"P22_node_14941";"P22_node_14942";"P22_node_14943";"P22_node_14944";"P22_node_14945";"P22_node_12692";"P22_node_10694";"P22_node_5896";"P22_node_14946";"P22_node_5198";"P22_node_5624"
"P22_node_284";0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"P22_node_4093";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4094";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"P22_node_3141";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4095";0;1;1;1;1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;0;0;0;1;1;1;1;1;0;1;0;0;0;1;1;0;0;0;1;0;0;1;0;0;1;1;0;0;0;1;0;0;1;1;0;0;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;1;0;0;0;0;1;1;0;0;0;1;0;0;1;1;0;1;0;1;0;0;1;0;0;1;0;1;1;0;0;0;1;0;1;1;1;1;1;1;0
"P22_node_4096";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4097";1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0
"P22_node_4098";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_274";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"P22_node_1703";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
