"";"WOL_node_2347";"WOL_node_7019";"WOL_node_5175";"WOL_node_10227";"WOL_node_2966";"WOL_node_6334";"WOL_node_7207";"WOL_node_10696";"WOL_node_12718";"WOL_node_2976";"WOL_node_6838";"WOL_node_12722";"WOL_node_8862";"WOL_node_12329";"WOL_node_2420";"WOL_node_5316"
"WOL_node_4736";1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"WOL_node_1727";1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_1688";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_1700";1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
"WOL_node_1706";1;0;0;0;0;0;1;1;0;1;1;1;1;0;0;0
"WOL_node_1710";1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"WOL_node_10474";1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"WOL_node_723";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"WOL_node_6684";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"WOL_node_6810";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"WOL_node_4722";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_4728";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_12773";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_4471";1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_4697";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_11209";0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0
"WOL_node_7283";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"WOL_node_7507";1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0
"WOL_node_1031";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_620";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_931";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_2409";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"WOL_node_2663";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"WOL_node_4619";1;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0
"WOL_node_15467";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_9164";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_2029";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"WOL_node_5887";0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_7724";0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1
"WOL_node_7772";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"WOL_node_9944";1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_11725";0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;1
"WOL_node_12179";1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0
"WOL_node_7232";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_10087";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_11101";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
