"";"M22_node_646";"M22_node_2284";"M22_node_376";"M22_node_1067";"M22_node_1766";"M22_node_2188";"M22_node_2386";"M22_node_2407";"M22_node_1769";"M22_node_70";"M22_node_152";"M22_node_76";"M22_node_219";"M22_node_644";"M22_node_706";"M22_node_1656";"M22_node_1636";"M22_node_233";"M22_node_699";"M22_node_1383";"M22_node_2373";"M22_node_64";"M22_node_2273";"M22_node_648";"M22_node_649";"M22_node_2315"
"M22_node_176";1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_299";1;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"M22_node_345";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_433";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_436";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_627";1;0;1;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_628";1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_630";1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_631";0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_650";1;0;1;1;1;1;0;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
"M22_node_661";0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_662";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_862";0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_864";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_865";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_887";1;0;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_890";1;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_961";0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"M22_node_964";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_981";1;1;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"M22_node_1133";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_1134";1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_1265";0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
"M22_node_1296";0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"M22_node_1316";0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_1318";0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0
"M22_node_1343";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_1396";0;0;1;1;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0
"M22_node_1405";1;1;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1
"M22_node_1414";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_1475";1;0;1;1;0;0;1;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0
"M22_node_1488";0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_1567";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"M22_node_1608";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_888";1;0;1;1;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
"M22_node_1811";0;1;1;1;0;1;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0
"M22_node_1872";1;0;0;0;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_2020";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_2081";1;0;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;0;0;0;1;0;0;1;0
"M22_node_2140";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_2211";0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_2308";1;1;1;1;1;1;0;0;1;1;0;1;1;0;1;1;0;1;1;0;0;1;0;0;0;0
"M22_node_2310";0;0;0;0;0;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0
"M22_node_2316";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"M22_node_2365";0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_2443";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_2444";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
