"";"WOL_node_11001";"WOL_node_6871";"WOL_node_11895";"WOL_node_9187";"WOL_node_10842";"WOL_node_4569";"WOL_node_2066";"WOL_node_10649";"WOL_node_11146";"WOL_node_9389";"WOL_node_2417";"WOL_node_10119";"WOL_node_4310";"WOL_node_12588";"WOL_node_15287"
"WOL_node_9937";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_198";1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_3059";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_8652";1;1;0;1;0;1;1;1;1;1;1;0;0;0;0
"WOL_node_197";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"WOL_node_3208";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_4315";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_4938";1;0;1;0;0;1;1;1;0;0;0;0;0;1;0
"WOL_node_3855";0;0;0;0;0;0;1;0;1;0;0;1;0;0;0
"WOL_node_10692";0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"WOL_node_5877";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"WOL_node_6661";1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"WOL_node_11722";1;0;1;0;0;1;0;1;0;0;1;1;0;0;0
"WOL_node_9299";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"WOL_node_9936";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"WOL_node_4939";1;0;1;0;1;1;0;0;0;1;0;1;0;0;0
"WOL_node_11816";1;1;0;1;0;1;0;1;1;1;1;0;1;0;0
"WOL_node_9564";0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
"WOL_node_4970";0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
"WOL_node_12131";1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_3851";0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_4248";1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_5880";0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_1765";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"WOL_node_9402";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_8732";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_9950";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_9474";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_4989";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_12133";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_11590";1;0;0;0;1;0;0;0;1;1;1;0;1;0;0
"WOL_node_8642";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_12523";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_3799";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_5199";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_1842";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_6265";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_11930";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_6272";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
