"";"P22_node_6917";"P22_node_11641";"P22_node_11642";"P22_node_11643";"P22_node_8481";"P22_node_11644";"P22_node_11645";"P22_node_10832";"P22_node_11646";"P22_node_5124";"P22_node_7085";"P22_node_11338";"P22_node_11647";"P22_node_11648";"P22_node_11649";"P22_node_11650";"P22_node_10810";"P22_node_5126";"P22_node_6906";"P22_node_11651";"P22_node_11434";"P22_node_11652";"P22_node_11653";"P22_node_11291";"P22_node_11292";"P22_node_6912";"P22_node_11654";"P22_node_11655";"P22_node_11656";"P22_node_11657";"P22_node_11658";"P22_node_11659";"P22_node_11660";"P22_node_8489";"P22_node_8491";"P22_node_11661";"P22_node_11662";"P22_node_11663";"P22_node_11664";"P22_node_11665";"P22_node_11666";"P22_node_11667";"P22_node_11668";"P22_node_11669";"P22_node_11670";"P22_node_11671";"P22_node_11672";"P22_node_11673";"P22_node_11674";"P22_node_11675";"P22_node_11676";"P22_node_11677";"P22_node_11678";"P22_node_11679";"P22_node_11680";"P22_node_11681";"P22_node_11009";"P22_node_11682";"P22_node_11683";"P22_node_11684";"P22_node_8494";"P22_node_8495";"P22_node_11685";"P22_node_11686";"P22_node_6933";"P22_node_11687";"P22_node_11688";"P22_node_11689";"P22_node_11690";"P22_node_11691";"P22_node_11692";"P22_node_11693";"P22_node_10203";"P22_node_11694";"P22_node_11695";"P22_node_11696";"P22_node_11697";"P22_node_11698";"P22_node_11699";"P22_node_11700";"P22_node_11701";"P22_node_11702";"P22_node_11703";"P22_node_11704";"P22_node_11705";"P22_node_11706";"P22_node_11707";"P22_node_11708";"P22_node_5165";"P22_node_11709";"P22_node_11710";"P22_node_11711";"P22_node_10837";"P22_node_11712";"P22_node_11713";"P22_node_11714";"P22_node_11715";"P22_node_8507";"P22_node_11716";"P22_node_11717";"P22_node_11446";"P22_node_11718";"P22_node_11719";"P22_node_11720";"P22_node_11721";"P22_node_11722";"P22_node_11723";"P22_node_11724";"P22_node_10806";"P22_node_11725";"P22_node_11726";"P22_node_5198";"P22_node_11727"
"P22_node_2674";1;0;1;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;1;1;0;1;0;1;0;1;0;0;1;1;1;1;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"P22_node_2675";1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0;1;1;1;1;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;1;1;0;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;1;1;0;1;1;0;1;0;0
"P22_node_2676";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"P22_node_2677";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"P22_node_1152";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2185";0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0
"P22_node_27";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2678";0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2679";0;0;1;0;1;0;0;0;0;1;1;0;1;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;1;1;1;1;1
"P22_node_1143";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
