"";"mangal_node_3483";"mangal_node_3413";"mangal_node_3412";"mangal_node_3313";"mangal_node_3543";"mangal_node_3308";"mangal_node_3353";"mangal_node_0090";"mangal_node_3312";"mangal_node_3486";"mangal_node_3304";"mangal_node_3521";"mangal_node_3374";"mangal_node_3306";"mangal_node_3546";"mangal_node_3484";"mangal_node_3547";"mangal_node_3593";"mangal_node_3437"
"mangal_node_3417";0;0;0;0;1;1;1;1;1;1;0;1;0;0;1;1;1;0;0
"mangal_node_3591";1;0;0;1;0;1;1;1;1;0;1;1;0;1;1;0;0;1;1
"mangal_node_3295";1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;0;0;0
"mangal_node_3294";1;0;0;0;0;1;1;1;1;0;0;1;1;0;0;0;0;0;0
"mangal_node_3592";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
"mangal_node_3297";0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0
"mangal_node_3407";0;0;0;1;0;0;1;0;0;1;1;1;0;1;0;0;1;0;0
"mangal_node_3300";0;0;0;0;1;0;1;1;0;1;0;1;0;0;0;1;0;0;0
"mangal_node_3336";0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0
"mangal_node_3419";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_3328";0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
