"";"WOL_node_3779";"WOL_node_2026";"WOL_node_10927";"WOL_node_1190";"WOL_node_10958";"WOL_node_9027";"WOL_node_6845";"WOL_node_4666";"WOL_node_5734";"WOL_node_12841";"WOL_node_1251";"WOL_node_11573";"WOL_node_2996";"WOL_node_2993";"WOL_node_5735";"WOL_node_12840";"WOL_node_11869";"WOL_node_3758";"WOL_node_9633";"WOL_node_7188";"WOL_node_12505";"WOL_node_5815";"WOL_node_2635";"WOL_node_8287";"WOL_node_5800";"WOL_node_9026"
"WOL_node_4736";1;1;1;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_12152";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_6810";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_7283";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_10125";1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_1031";0;1;1;0;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0
"WOL_node_4619";1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_7433";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
"WOL_node_10173";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_10030";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_1177";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_4708";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_606";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_7720";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_7887";1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"WOL_node_11722";1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0
"WOL_node_9799";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_1701";0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_6824";0;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0
"WOL_node_9237";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_9805";1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_6736";1;1;0;1;1;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_6703";1;0;0;1;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0
"WOL_node_2432";1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0
