"";"P22_node_5592";"P22_node_5900";"P22_node_8562";"P22_node_13372";"P22_node_13404";"P22_node_13405";"P22_node_13406";"P22_node_13373";"P22_node_13387";"P22_node_13378";"P22_node_13380";"P22_node_13407";"P22_node_8574";"P22_node_5610";"P22_node_13408";"P22_node_13409";"P22_node_13410";"P22_node_13411";"P22_node_13412";"P22_node_13413";"P22_node_6892";"P22_node_6851";"P22_node_5626";"P22_node_5753";"P22_node_5354";"P22_node_13414";"P22_node_13415";"P22_node_12764";"P22_node_13416";"P22_node_13386";"P22_node_10196";"P22_node_5603";"P22_node_13417";"P22_node_13418";"P22_node_5612";"P22_node_13419";"P22_node_13390";"P22_node_5614";"P22_node_12523";"P22_node_5877";"P22_node_5617";"P22_node_13394";"P22_node_13420";"P22_node_13421";"P22_node_13384";"P22_node_13396";"P22_node_13422";"P22_node_13423";"P22_node_7076";"P22_node_13424";"P22_node_13425";"P22_node_13426"
"P22_node_3596";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3606";0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3607";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
"P22_node_3608";1;1;1;0;0;0;0;1;0;1;0;0;1;1;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0
"P22_node_3609";1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;1
"P22_node_3604";0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;1;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"P22_node_3597";1;0;1;1;0;1;1;0;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3610";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3611";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
"P22_node_3599";0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3601";0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"P22_node_3612";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3613";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3605";1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0
