"";"P22_node_10393";"P22_node_10394";"P22_node_10395";"P22_node_10396";"P22_node_10397";"P22_node_10398";"P22_node_10399";"P22_node_10400";"P22_node_10401";"P22_node_10402";"P22_node_10403";"P22_node_10404";"P22_node_10405";"P22_node_10406";"P22_node_10407";"P22_node_10408";"P22_node_10409";"P22_node_10410";"P22_node_10411";"P22_node_10412";"P22_node_10413";"P22_node_10414";"P22_node_10415";"P22_node_10416";"P22_node_10417";"P22_node_10418";"P22_node_10419";"P22_node_10420";"P22_node_10421";"P22_node_10422";"P22_node_10423";"P22_node_10424";"P22_node_10425";"P22_node_10426";"P22_node_10427";"P22_node_10428";"P22_node_10429";"P22_node_10430";"P22_node_10431";"P22_node_10432";"P22_node_10433";"P22_node_10434";"P22_node_10435";"P22_node_10436";"P22_node_10437";"P22_node_10438";"P22_node_10439";"P22_node_10440";"P22_node_10441";"P22_node_10442";"P22_node_10443";"P22_node_10444";"P22_node_10445";"P22_node_10446";"P22_node_10447";"P22_node_7083";"P22_node_10448";"P22_node_10449";"P22_node_10450";"P22_node_10451";"P22_node_10452";"P22_node_10453";"P22_node_10454";"P22_node_10455";"P22_node_10456";"P22_node_10457";"P22_node_10458";"P22_node_10459";"P22_node_10460"
"P22_node_1952";0;0;0;0;1;1;0;0;0;0;1;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
"P22_node_1953";0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"P22_node_1954";1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;1
"P22_node_1955";0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1956";0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1957";1;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;1;1;0;0;0;1;1;1;1;1;0;0;0;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0
"P22_node_1958";0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"P22_node_1959";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1960";0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
"P22_node_1961";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
