"";"P22_node_11388";"P22_node_5363";"P22_node_11290";"P22_node_5368";"P22_node_11389";"P22_node_9588";"P22_node_11390";"P22_node_5374";"P22_node_5377";"P22_node_9600";"P22_node_5237";"P22_node_11391";"P22_node_11392";"P22_node_8733";"P22_node_11393";"P22_node_11394";"P22_node_11114";"P22_node_8849";"P22_node_10672";"P22_node_11395";"P22_node_5504";"P22_node_5583"
"P22_node_199";1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0
"P22_node_2469";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_2470";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"P22_node_2471";0;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2472";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
"P22_node_2473";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2474";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2444";0;1;1;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0
"P22_node_2475";0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0
"P22_node_2192";0;1;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0
"P22_node_150";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2476";0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2477";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_231";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"P22_node_2478";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
