"";"M22_node_361";"M22_node_465";"M22_node_607";"M22_node_702";"M22_node_1130";"M22_node_1425";"M22_node_1434";"M22_node_1440";"M22_node_1738";"M22_node_1980";"M22_node_2056";"M22_node_2246";"M22_node_2275";"M22_node_2281";"M22_node_2379";"M22_node_2380";"M22_node_2391";"M22_node_2406";"M22_node_2455";"M22_node_2259";"M22_node_2418";"M22_node_2113";"M22_node_1224";"M22_node_1781";"M22_node_2383";"M22_node_600";"M22_node_783";"M22_node_2255";"M22_node_2363";"M22_node_2515"
"M22_node_26";0;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;1;1;1;1;0;1;0;0;0;0;1;0;0
"M22_node_435";0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0
"M22_node_417";0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0
"M22_node_798";0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"M22_node_928";0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
"M22_node_1150";0;0;1;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;0;0;0
"M22_node_1259";0;0;1;0;0;1;0;0;0;1;1;1;0;1;1;0;1;1;0;0;0;0;1;1;0;0;0;0;1;0
"M22_node_1287";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_1460";0;1;0;1;0;0;0;1;0;1;1;1;1;1;1;1;0;0;0;1;0;0;0;1;1;0;0;0;0;1
"M22_node_1208";0;1;1;0;0;1;0;1;0;1;1;0;0;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0
"M22_node_1476";1;0;1;0;0;0;0;1;0;1;1;1;1;0;0;0;1;1;0;1;0;1;0;1;1;0;1;1;0;0
"M22_node_2089";1;1;1;1;0;1;0;0;0;1;1;0;1;1;1;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0
