"";"P22_node_5354";"P22_node_11515";"P22_node_13076";"P22_node_13077";"P22_node_13078";"P22_node_10375";"P22_node_8856";"P22_node_8857";"P22_node_11542";"P22_node_10692";"P22_node_13079";"P22_node_12275";"P22_node_12277";"P22_node_10339";"P22_node_13080";"P22_node_13081";"P22_node_13082";"P22_node_12308";"P22_node_10345";"P22_node_13083";"P22_node_13084";"P22_node_13085";"P22_node_13086";"P22_node_13087";"P22_node_12326";"P22_node_13088";"P22_node_13089";"P22_node_13090";"P22_node_13091";"P22_node_13092";"P22_node_13093";"P22_node_13094";"P22_node_13095";"P22_node_13096";"P22_node_13097";"P22_node_13098";"P22_node_13099";"P22_node_13100";"P22_node_13101";"P22_node_13102";"P22_node_6932";"P22_node_6933";"P22_node_11543";"P22_node_13103";"P22_node_12559";"P22_node_13104";"P22_node_13105";"P22_node_13106";"P22_node_13107";"P22_node_13108";"P22_node_13109";"P22_node_13110";"P22_node_13111";"P22_node_13112";"P22_node_13113";"P22_node_13114";"P22_node_12437";"P22_node_12442";"P22_node_13115";"P22_node_13116";"P22_node_13117";"P22_node_13118";"P22_node_13119";"P22_node_13120";"P22_node_10175";"P22_node_10388";"P22_node_13121";"P22_node_13122";"P22_node_10390";"P22_node_13123";"P22_node_11040";"P22_node_13124"
"P22_node_3361";1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0
"P22_node_2354";1;1;1;1;1;1;1;0;0;1;0;1;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;1;1;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;1;1;0
"P22_node_3362";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3363";1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;1;1;1;1;1;1;1;0;0;1;1;0;1;1;1;1;0;1;1;0
"P22_node_3364";1;0;1;1;1;1;1;1;0;1;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;1;1;0;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0
"P22_node_3365";1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
"P22_node_3366";0;1;1;0;1;1;0;0;1;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;1;1;0;0;1;0;0;0;1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;1;1;1
"P22_node_3367";1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;1;1;0
"P22_node_2930";1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"P22_node_3368";1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3369";1;1;1;1;1;0;1;0;1;1;0;1;1;1;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;1;1;1;0;1;1;1;0;1;0;1;1;1;0;1;0;0;0;1;0;0;1;1;1;0;0;0;0;1;0;0;1;1;0;0;1;1;1;0;0;1;1;0
"P22_node_3370";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2879";1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;0;1;1;1;0;0;0;1;0;1;0;0;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0
"P22_node_1916";1;1;1;1;1;1;1;0;0;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;1;1;1;0;1;1;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;1;1;1;0;1;0;0;0;0;1;1;0;1;1;1;1;1;1;1;0
"P22_node_3371";1;1;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;1;0
"P22_node_3372";1;1;1;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;0;1;0;0
"P22_node_3373";1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
"P22_node_3374";0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"P22_node_3375";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_3376";1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0
"P22_node_3377";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
