"";"P22_node_13857";"P22_node_13852";"P22_node_13841";"P22_node_14677";"P22_node_13842";"P22_node_16362";"P22_node_12797";"P22_node_13855";"P22_node_16363";"P22_node_16364";"P22_node_13858";"P22_node_12778";"P22_node_10492";"P22_node_16365";"P22_node_10834";"P22_node_16366";"P22_node_5354";"P22_node_5936";"P22_node_12042";"P22_node_16367";"P22_node_16368";"P22_node_16369";"P22_node_6858";"P22_node_12779";"P22_node_10792";"P22_node_12823";"P22_node_12830";"P22_node_16370";"P22_node_14103";"P22_node_6747";"P22_node_15412";"P22_node_13846";"P22_node_13840";"P22_node_12038";"P22_node_12777";"P22_node_12786";"P22_node_16371";"P22_node_10840";"P22_node_16372";"P22_node_5119";"P22_node_13831";"P22_node_16373";"P22_node_14104"
"P22_node_4814";0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1911";0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3805";0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3804";0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4815";0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3800";0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4816";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1721";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4817";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2750";0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0
