"";"P22_node_5127";"P22_node_13125";"P22_node_13126";"P22_node_9816";"P22_node_13127";"P22_node_13128";"P22_node_13129";"P22_node_13130";"P22_node_9733";"P22_node_6036";"P22_node_5438";"P22_node_13131"
"P22_node_3406";1;0;1;0;0;1;0;0;0;0;0;0
"P22_node_3407";0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_3408";0;0;1;0;0;1;1;0;0;0;0;0
"P22_node_1149";0;0;1;0;1;0;0;0;0;0;1;0
"P22_node_3409";1;0;1;1;0;0;0;0;0;0;0;0
"P22_node_3410";1;0;1;0;0;0;0;0;0;0;0;1
"P22_node_612";0;0;1;1;0;0;0;0;0;0;0;0
"P22_node_3411";0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_3412";0;0;1;0;0;0;0;1;0;0;0;0
"P22_node_150";0;0;1;0;0;0;0;0;1;0;0;0
"P22_node_3413";0;0;1;1;0;0;0;0;0;0;0;0
"P22_node_3149";0;0;0;0;1;0;0;0;0;0;0;0
"P22_node_3414";0;0;1;0;0;0;0;1;0;0;0;0
"P22_node_3415";0;0;0;0;0;1;0;0;0;0;0;0
"P22_node_3416";0;0;0;0;0;0;0;0;0;1;0;0
"P22_node_3417";0;0;0;1;0;0;0;0;0;0;0;0
"P22_node_3418";0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_3419";1;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3420";0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_3421";0;0;0;1;0;0;0;0;0;0;0;0
"P22_node_3422";0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_891";0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_3423";0;1;0;0;0;0;0;0;0;0;0;0
"P22_node_3424";0;0;0;0;0;0;0;1;0;0;0;0
"P22_node_3425";0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_3426";0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_2802";0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_2915";0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_3427";0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_3428";1;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2644";0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_3429";0;0;0;0;0;1;0;0;0;0;0;0
"P22_node_3430";1;0;1;0;0;0;0;0;0;0;0;0
"P22_node_3431";0;0;1;0;0;0;0;0;0;0;0;0
