"";"P22_node_15178";"P22_node_15212";"P22_node_15186";"P22_node_15277";"P22_node_5354";"P22_node_15195";"P22_node_15223";"P22_node_15205";"P22_node_15169";"P22_node_15203";"P22_node_15278";"P22_node_15218";"P22_node_15208";"P22_node_15160";"P22_node_15273";"P22_node_15185";"P22_node_15165";"P22_node_15279";"P22_node_15183";"P22_node_15216";"P22_node_15207"
"P22_node_4386";0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
"P22_node_4362";1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0
"P22_node_4363";0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"P22_node_4358";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4388";1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1
"P22_node_4389";0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
"P22_node_4390";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_891";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_1931";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_4360";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
