"";"TI_HERB_4721";"TI_HERB_4729";"TI_HERB_4792";"TI_HERB_4785";"TI_HERB_4757";"TI_HERB_4793";"TI_HERB_4794";"TI_HERB_4795";"TI_HERB_4788";"TI_HERB_4769";"TI_HERB_4734";"TI_HERB_4796";"TI_HERB_4797";"TI_HERB_4716";"TI_HERB_4798";"TI_HERB_4724";"TI_HERB_4702";"TI_HERB_4698";"TI_HERB_4799"
"TI_PLANT_4271";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4273";0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
"TI_PLANT_4316";0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4295";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"TI_PLANT_4279";0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0
"TI_PLANT_4308";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"TI_PLANT_4317";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"TI_PLANT_4290";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4291";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"TI_PLANT_4265";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"TI_PLANT_4318";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
