"";"P22_node_9322";"P22_node_5354";"P22_node_11096";"P22_node_11097";"P22_node_10354";"P22_node_11098";"P22_node_10746";"P22_node_11099";"P22_node_11100";"P22_node_11101";"P22_node_11102";"P22_node_7123";"P22_node_11103";"P22_node_11104";"P22_node_9475";"P22_node_10772";"P22_node_10969";"P22_node_11105"
"P22_node_2345";0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"P22_node_1238";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
"P22_node_2346";0;1;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0
"P22_node_2347";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2348";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_1499";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2349";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_2350";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2351";0;1;0;0;1;1;1;0;1;1;0;1;1;0;1;0;0;0
"P22_node_2352";0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0
"P22_node_2353";0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_2354";0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0
"P22_node_2355";0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"P22_node_2356";0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
"P22_node_2357";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2358";0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0
"P22_node_2359";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2360";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2361";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2362";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2363";0;1;0;1;0;1;0;0;0;1;0;0;1;0;1;0;0;0
"P22_node_2364";0;1;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0
"P22_node_2365";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2366";0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0
"P22_node_2367";0;0;0;1;0;1;0;0;0;1;0;0;0;1;1;1;0;0
"P22_node_2368";0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
"P22_node_488";0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0
"P22_node_2369";0;1;1;1;1;1;1;0;1;1;0;0;1;1;1;0;1;1
"P22_node_2370";0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"P22_node_540";0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"P22_node_1240";0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
"P22_node_2371";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_543";0;1;1;1;1;1;1;0;0;0;1;0;1;1;1;1;0;0
"P22_node_545";0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
"P22_node_1160";0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
"P22_node_2372";0;1;0;1;1;0;1;0;0;1;1;1;0;1;1;0;0;0
"P22_node_2373";0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
"P22_node_2374";0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
"P22_node_2375";0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0
"P22_node_2376";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_2377";1;1;0;0;0;1;0;1;0;1;0;1;1;0;1;0;0;0
"P22_node_2378";0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
"P22_node_1222";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_970";0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
"P22_node_2379";0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"P22_node_2380";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_469";0;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1
"P22_node_2381";0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"P22_node_2382";0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"P22_node_2383";0;1;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0
"P22_node_2384";0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0
"P22_node_2385";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2386";0;0;0;0;0;1;1;0;0;1;0;1;0;0;1;1;0;1
"P22_node_2387";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_1654";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_2388";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0
"P22_node_1925";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
"P22_node_2389";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2390";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2391";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_2392";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"P22_node_653";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_2393";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_2394";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2395";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2396";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2397";1;1;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;0
"P22_node_2398";0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
