"";"P22_node_10484";"P22_node_10485";"P22_node_10486";"P22_node_10487";"P22_node_10488";"P22_node_10466";"P22_node_10489";"P22_node_10490";"P22_node_10491";"P22_node_10492";"P22_node_10493";"P22_node_10494";"P22_node_10495";"P22_node_10496";"P22_node_10497";"P22_node_6032";"P22_node_5832";"P22_node_10498";"P22_node_5438";"P22_node_6522";"P22_node_10499";"P22_node_10500";"P22_node_10501";"P22_node_10502";"P22_node_5620";"P22_node_10503";"P22_node_5444"
"P22_node_1222";0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0
"P22_node_2008";0;1;0;1;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;1;0;1;0;0;1
"P22_node_2009";0;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;0;1;0;1
"P22_node_2010";0;1;1;1;0;0;1;0;1;0;1;1;0;1;0;1;0;1;1;1;0;1;0;0;0;0;1
"P22_node_2011";0;1;0;1;1;0;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;1;1;0;0;0
"P22_node_2012";1;0;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0
"P22_node_491";0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
"P22_node_2013";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
"P22_node_657";0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0
"P22_node_2014";0;0;1;1;0;1;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0;0;0;1
"P22_node_2015";0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0
"P22_node_2016";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
"P22_node_2017";0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
"P22_node_2018";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;1;0
"P22_node_2019";0;1;0;1;0;1;0;0;0;0;1;1;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0
