"";"P22_node_9583";"P22_node_8974";"P22_node_5354";"P22_node_8783";"P22_node_6964";"P22_node_5771";"P22_node_6966";"P22_node_8785";"P22_node_6967";"P22_node_5802";"P22_node_6971";"P22_node_10671";"P22_node_6973";"P22_node_6434";"P22_node_5859";"P22_node_6963";"P22_node_5612";"P22_node_5880";"P22_node_7019";"P22_node_9225";"P22_node_12995";"P22_node_7022";"P22_node_7023";"P22_node_15779";"P22_node_5198"
"P22_node_608";0;0;1;0;1;1;1;0;1;1;0;1;1;0;1;1;0;0;1;0;0;1;1;1;0
"P22_node_622";1;0;0;1;1;0;1;0;1;1;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0
"P22_node_609";0;1;0;0;1;1;1;1;1;1;0;0;0;1;1;0;0;1;1;1;0;1;1;0;1
"P22_node_1355";0;0;0;0;1;1;1;0;1;1;0;0;1;1;0;0;1;1;0;0;1;0;0;0;1
"P22_node_734";0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"P22_node_612";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1363";0;0;0;0;1;0;1;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1
"P22_node_613";0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2876";0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2895";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"P22_node_2880";0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_396";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_620";1;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0
"P22_node_4585";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1350";0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"P22_node_614";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
