"";"TI_HERB_2043";"TI_HERB_1994";"TI_HERB_1995";"TI_HERB_2065";"TI_HERB_1922";"TI_HERB_1924";"TI_HERB_2066";"TI_HERB_1926";"TI_HERB_2045";"TI_HERB_2046";"TI_HERB_1930";"TI_HERB_2067";"TI_HERB_1932";"TI_HERB_1933";"TI_HERB_1937";"TI_HERB_1935";"TI_HERB_2003";"TI_HERB_2068";"TI_HERB_2069";"TI_HERB_2070";"TI_HERB_2071";"TI_HERB_2072";"TI_HERB_1940";"TI_HERB_2073";"TI_HERB_1944";"TI_HERB_2053";"TI_HERB_2008";"TI_HERB_2055";"TI_HERB_2074";"TI_HERB_2011";"TI_HERB_2075";"TI_HERB_1947";"TI_HERB_1949";"TI_HERB_1950";"TI_HERB_1952";"TI_HERB_1953";"TI_HERB_2058";"TI_HERB_2076";"TI_HERB_1956";"TI_HERB_1957";"TI_HERB_1960";"TI_HERB_1961";"TI_HERB_1962";"TI_HERB_1964";"TI_HERB_1965";"TI_HERB_2017";"TI_HERB_2077";"TI_HERB_2078";"TI_HERB_2020";"TI_HERB_1967";"TI_HERB_1968";"TI_HERB_2023";"TI_HERB_2060";"TI_HERB_1969";"TI_HERB_2025";"TI_HERB_2061";"TI_HERB_1971";"TI_HERB_815";"TI_HERB_1972";"TI_HERB_2026";"TI_HERB_1973";"TI_HERB_2079";"TI_HERB_2080";"TI_HERB_2081";"TI_HERB_2082";"TI_HERB_1977";"TI_HERB_2033";"TI_HERB_1979";"TI_HERB_1982";"TI_HERB_1983";"TI_HERB_1984";"TI_HERB_1985";"TI_HERB_2083";"TI_HERB_1987";"TI_HERB_2084";"TI_HERB_2085";"TI_HERB_1989";"TI_HERB_2086";"TI_HERB_2040";"TI_HERB_2087";"TI_HERB_2088";"TI_HERB_2089";"TI_HERB_2090"
"TI_PLANT_141";1;0;1;1;0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0
"TI_PLANT_2427";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2445";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"TI_PLANT_31";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"TI_PLANT_2414";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2417";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"TI_PLANT_2413";0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
"TI_PLANT_55";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"TI_PLANT_2426";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2415";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
