"";"mangal_node_2047";"mangal_node_2216";"mangal_node_0090";"mangal_node_2044";"mangal_node_2217";"mangal_node_2045";"mangal_node_2218";"mangal_node_2219";"mangal_node_2048";"mangal_node_2220";"mangal_node_2221";"mangal_node_2222";"mangal_node_2223";"mangal_node_2224";"mangal_node_2225";"mangal_node_2226";"mangal_node_2227";"mangal_node_2228";"mangal_node_2229";"mangal_node_2230"
"mangal_node_0090";1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;1
"mangal_node_2231";1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;0;1;1;1
"mangal_node_2232";1;0;1;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;1
"mangal_node_2233";1;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0
"mangal_node_2234";1;0;1;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0
"mangal_node_2235";1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
"mangal_node_2236";1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
"mangal_node_2237";0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
"mangal_node_2238";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"mangal_node_2239";1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0
"mangal_node_2240";0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0
"mangal_node_2241";1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1
"mangal_node_2249";1;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_2243";1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1
"mangal_node_2244";1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_2245";0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1
"mangal_node_2242";0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0
"mangal_node_2246";1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0
"mangal_node_2247";0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"mangal_node_2248";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
