"";"P22_node_5544";"P22_node_8941";"P22_node_14547";"P22_node_8587";"P22_node_9126";"P22_node_5701";"P22_node_14543";"P22_node_5912";"P22_node_9583";"P22_node_6779";"P22_node_14507";"P22_node_12052";"P22_node_8961";"P22_node_6101";"P22_node_5354";"P22_node_14526";"P22_node_10019";"P22_node_6966";"P22_node_6031";"P22_node_5930";"P22_node_12035";"P22_node_9011";"P22_node_14548";"P22_node_8916";"P22_node_5936";"P22_node_8373";"P22_node_14532";"P22_node_5663";"P22_node_6756";"P22_node_8833";"P22_node_14519";"P22_node_5802";"P22_node_14549";"P22_node_5260";"P22_node_5668";"P22_node_9185";"P22_node_14550";"P22_node_7016";"P22_node_14501";"P22_node_5853";"P22_node_6434";"P22_node_13605";"P22_node_9171";"P22_node_14551";"P22_node_14504";"P22_node_7021";"P22_node_14552";"P22_node_14503";"P22_node_9225";"P22_node_9237";"P22_node_12660";"P22_node_7446";"P22_node_8908";"P22_node_14521";"P22_node_5295";"P22_node_14508"
"P22_node_2877";1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0
"P22_node_1327";0;1;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0
"P22_node_1348";0;0;1;0;0;1;1;1;1;1;0;0;0;1;0;0;1;0;0;1;0;1;1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;1;0;1;1;1;0;0;0;0;0;1;1;1;1;0
"P22_node_257";0;0;0;1;0;1;0;0;0;1;1;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0
"P22_node_1707";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2871";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"P22_node_1324";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_734";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4057";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"P22_node_2766";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_612";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4053";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4052";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"P22_node_396";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4056";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
