"";"P22_node_5544";"P22_node_14525";"P22_node_8587";"P22_node_5701";"P22_node_8906";"P22_node_5912";"P22_node_14518";"P22_node_8961";"P22_node_13677";"P22_node_5230";"P22_node_5354";"P22_node_14526";"P22_node_10019";"P22_node_8783";"P22_node_6964";"P22_node_5771";"P22_node_6966";"P22_node_8785";"P22_node_6967";"P22_node_12059";"P22_node_8794";"P22_node_6779";"P22_node_14484";"P22_node_8916";"P22_node_14507";"P22_node_8833";"P22_node_14527";"P22_node_9066";"P22_node_8572";"P22_node_5802";"P22_node_14528";"P22_node_6971";"P22_node_14529";"P22_node_14530";"P22_node_9125";"P22_node_9126";"P22_node_5843";"P22_node_6762";"P22_node_14531";"P22_node_14532";"P22_node_14501";"P22_node_8858";"P22_node_5853";"P22_node_6434";"P22_node_13605";"P22_node_13040";"P22_node_9164";"P22_node_7943";"P22_node_9185";"P22_node_12667";"P22_node_5876";"P22_node_7016";"P22_node_14533";"P22_node_12884";"P22_node_14503";"P22_node_9225";"P22_node_7021";"P22_node_14505";"P22_node_9239";"P22_node_7446";"P22_node_8908";"P22_node_5198";"P22_node_9961"
"P22_node_2871";0;0;1;1;1;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;1;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;1;0;0;0
"P22_node_614";1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4056";0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
"P22_node_257";1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;1;0;0;0;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1
"P22_node_4053";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
"P22_node_1348";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0
"P22_node_2877";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_396";0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0
"P22_node_1327";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_612";0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
