"";"WOL_node_3409";"WOL_node_7457";"WOL_node_1088";"WOL_node_3056";"WOL_node_12729";"WOL_node_2773";"WOL_node_3751";"WOL_node_7104";"WOL_node_10651";"WOL_node_12702";"WOL_node_9058";"WOL_node_7566"
"WOL_node_105";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_244";0;1;0;0;0;0;0;0;0;0;0;0
"WOL_node_681";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_684";1;1;0;0;0;0;0;0;0;0;0;0
"WOL_node_697";1;0;0;0;0;0;0;0;0;0;1;0
"WOL_node_725";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_734";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_754";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_769";0;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_770";0;0;0;1;0;0;0;0;0;0;0;0
"WOL_node_765";1;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_839";1;0;0;0;1;0;0;0;0;0;0;0
"WOL_node_1620";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_1621";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_1622";0;1;0;0;0;0;0;0;0;0;0;0
"WOL_node_1708";1;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_1725";1;1;0;0;0;0;0;0;0;0;0;0
"WOL_node_1728";1;0;1;1;0;1;0;0;0;0;0;0
"WOL_node_1729";1;1;1;1;0;1;1;1;1;0;0;0
"WOL_node_1744";1;1;0;0;0;0;0;0;0;0;0;0
"WOL_node_1746";0;1;0;0;0;0;0;0;0;0;0;0
"WOL_node_2231";0;1;1;1;0;0;0;1;0;1;0;0
"WOL_node_2232";0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_2272";0;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_2322";0;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_2609";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_2610";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_2611";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_2612";1;0;0;0;0;0;0;0;0;0;0;0
