"";"WOL_node_10211";"WOL_node_15502";"WOL_node_2251";"WOL_node_5313";"WOL_node_2874";"WOL_node_9240";"WOL_node_11374";"WOL_node_5381";"WOL_node_2330";"WOL_node_3486";"WOL_node_11373";"WOL_node_6058";"WOL_node_5778";"WOL_node_2329";"WOL_node_5814";"WOL_node_11393";"WOL_node_9042";"WOL_node_10702"
"WOL_node_7696";0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"WOL_node_10267";0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_9457";0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_10315";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_4819";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"WOL_node_5981";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"WOL_node_7697";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_2006";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_5983";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_15668";0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
"WOL_node_5881";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_6889";1;0;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0
"WOL_node_1408";1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
"WOL_node_5540";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_8661";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"WOL_node_6934";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_15722";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_8100";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_10269";0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"WOL_node_15671";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_15624";0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"WOL_node_6892";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_170";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"WOL_node_9339";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_2665";0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0
"WOL_node_15318";0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0
"WOL_node_4775";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"WOL_node_9813";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_1070";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_169";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"WOL_node_1172";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_7473";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_8464";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_10268";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"WOL_node_10316";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"WOL_node_1246";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"WOL_node_7569";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_7700";1;1;1;0;1;1;0;1;0;0;1;1;0;1;0;0;0;0
"WOL_node_12875";1;0;1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;1
"WOL_node_2680";0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0
"WOL_node_6895";0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0
"WOL_node_6755";0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_6938";0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0
"WOL_node_14110";0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"WOL_node_1158";1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
"WOL_node_8658";0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
"WOL_node_10251";0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"WOL_node_14486";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
"WOL_node_6899";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_1409";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"WOL_node_8465";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_4849";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"WOL_node_6117";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"WOL_node_10863";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"WOL_node_3740";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"WOL_node_14734";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_3191";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_3194";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_3199";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_3202";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
