"";"P22_node_15109";"P22_node_8479";"P22_node_10970";"P22_node_14391";"P22_node_7116";"P22_node_5354";"P22_node_10913";"P22_node_10914";"P22_node_14048";"P22_node_14073";"P22_node_15056";"P22_node_10915";"P22_node_14111";"P22_node_14964";"P22_node_14965";"P22_node_14966";"P22_node_14956";"P22_node_15110";"P22_node_15111";"P22_node_14050";"P22_node_9466";"P22_node_14971";"P22_node_15112";"P22_node_15113";"P22_node_15114";"P22_node_15115";"P22_node_15116";"P22_node_15117";"P22_node_15118";"P22_node_15119";"P22_node_15120";"P22_node_15121";"P22_node_10923";"P22_node_14990";"P22_node_14970";"P22_node_14172";"P22_node_15122";"P22_node_15123";"P22_node_15099";"P22_node_6924";"P22_node_11532";"P22_node_11475";"P22_node_15124";"P22_node_15125";"P22_node_15126";"P22_node_15127";"P22_node_15128";"P22_node_15129";"P22_node_15130";"P22_node_15131";"P22_node_15132";"P22_node_5158";"P22_node_5159";"P22_node_15133";"P22_node_15134";"P22_node_15135";"P22_node_15136";"P22_node_12797";"P22_node_13829";"P22_node_15137";"P22_node_15138";"P22_node_15139";"P22_node_15140";"P22_node_7110";"P22_node_12148";"P22_node_7633";"P22_node_15141";"P22_node_15142";"P22_node_10752";"P22_node_12811";"P22_node_15080";"P22_node_15143";"P22_node_13834";"P22_node_15144";"P22_node_15145";"P22_node_15146";"P22_node_7294";"P22_node_15147";"P22_node_14101";"P22_node_13532";"P22_node_13383";"P22_node_13453";"P22_node_13411";"P22_node_13472";"P22_node_13533";"P22_node_13412";"P22_node_14657";"P22_node_15148";"P22_node_15149";"P22_node_14102";"P22_node_15150";"P22_node_15151";"P22_node_15152";"P22_node_15153";"P22_node_11633";"P22_node_15154";"P22_node_7123";"P22_node_14431";"P22_node_14385";"P22_node_15155";"P22_node_15156";"P22_node_15157";"P22_node_15158";"P22_node_7902";"P22_node_12830";"P22_node_13855";"P22_node_15159";"P22_node_9475"
"P22_node_677";1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0
"P22_node_4336";0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
"P22_node_4337";0;1;0;0;1;1;0;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"P22_node_4338";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2263";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"P22_node_4339";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4340";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4341";0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"P22_node_4342";1;0;1;0;0;1;1;0;1;1;1;0;0;1;1;1;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0
"P22_node_4343";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
