"";"P22_node_9457";"P22_node_9704";"P22_node_9705";"P22_node_9780";"P22_node_9764";"P22_node_5354";"P22_node_9707";"P22_node_9765";"P22_node_9781";"P22_node_9766";"P22_node_9711";"P22_node_9712";"P22_node_9713";"P22_node_9782";"P22_node_9714";"P22_node_9715";"P22_node_9718";"P22_node_9719";"P22_node_9720";"P22_node_9783";"P22_node_9724";"P22_node_9725";"P22_node_9729";"P22_node_9784";"P22_node_9730";"P22_node_9785";"P22_node_9786";"P22_node_9787";"P22_node_9788";"P22_node_9734";"P22_node_9789";"P22_node_9737";"P22_node_9790";"P22_node_9703";"P22_node_9791";"P22_node_5612";"P22_node_9774";"P22_node_9792";"P22_node_9742";"P22_node_9793";"P22_node_9743";"P22_node_9744";"P22_node_9745";"P22_node_9747";"P22_node_9748";"P22_node_9794";"P22_node_9749";"P22_node_9750";"P22_node_9795";"P22_node_9796";"P22_node_9751";"P22_node_9752";"P22_node_9753";"P22_node_9754";"P22_node_9797";"P22_node_9798";"P22_node_9799";"P22_node_9759";"P22_node_9760";"P22_node_9761";"P22_node_9777";"P22_node_9762";"P22_node_9763"
"P22_node_1636";0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;1;1;0;0;1;1;0;1;1;0;0;0;0;1;0;0;1;0;0;0;1
"P22_node_1625";0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1
"P22_node_1592";1;1;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"P22_node_1591";0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0
"P22_node_1589";0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;1;0;1;1;1;0;1;0;0;1
"P22_node_1614";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1593";0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
"P22_node_1617";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"P22_node_1637";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"P22_node_1618";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"P22_node_1594";0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1
"P22_node_1590";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
