"";"AI22_node_234";"AI22_node_307";"AI22_node_411";"AI22_node_171";"AI22_node_849";"AI22_node_2254";"AI22_node_3129";"AI22_node_301";"AI22_node_319";"AI22_node_407";"AI22_node_636";"AI22_node_2276";"AI22_node_2773";"AI22_node_3116";"AI22_node_3125";"AI22_node_3140";"AI22_node_3149";"AI22_node_633";"AI22_node_300";"AI22_node_2359";"AI22_node_161";"AI22_node_252";"AI22_node_402";"AI22_node_494";"AI22_node_861";"AI22_node_953";"AI22_node_954";"AI22_node_1925";"AI22_node_2330";"AI22_node_2333";"AI22_node_2471";"AI22_node_3115";"AI22_node_3128";"AI22_node_3166";"AI22_node_3218";"AI22_node_308";"AI22_node_328";"AI22_node_2165";"AI22_node_3010";"AI22_node_3184";"AI22_node_3131";"AI22_node_294";"AI22_node_409";"AI22_node_2331";"AI22_node_3142";"AI22_node_1779";"AI22_node_1820";"AI22_node_329";"AI22_node_544";"AI22_node_572";"AI22_node_583";"AI22_node_3172";"AI22_node_3355";"AI22_node_3367";"AI22_node_850";"AI22_node_3082";"AI22_node_3161";"AI22_node_115";"AI22_node_390";"AI22_node_391";"AI22_node_2337"
"AI22_node_357";1;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_384";0;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_417";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_418";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_689";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_758";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_1026";0;1;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_1029";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_2105";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_2112";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
