"";"P22_node_12534";"P22_node_15377";"P22_node_15378";"P22_node_15379";"P22_node_5354";"P22_node_12990";"P22_node_11291";"P22_node_11358";"P22_node_15365";"P22_node_11813";"P22_node_9784";"P22_node_10666";"P22_node_15380";"P22_node_15354";"P22_node_15356";"P22_node_15367";"P22_node_15381";"P22_node_8849";"P22_node_10672";"P22_node_15382";"P22_node_15371";"P22_node_15383";"P22_node_11564";"P22_node_11578";"P22_node_15374";"P22_node_15376"
"P22_node_4414";1;0;0;1;0;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0
"P22_node_4421";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"P22_node_4404";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4416";0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0
"P22_node_4426";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
"P22_node_4420";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0
"P22_node_4427";0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1
"P22_node_4428";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"P22_node_4429";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"P22_node_4417";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4424";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"P22_node_4415";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
