"";"P22_node_13970";"P22_node_13982";"P22_node_13971";"P22_node_6704";"P22_node_6694";"P22_node_5802";"P22_node_13984";"P22_node_13985";"P22_node_6720";"P22_node_6106";"P22_node_6114";"P22_node_13994";"P22_node_6172";"P22_node_13987";"P22_node_6229";"P22_node_13988";"P22_node_13974";"P22_node_13950";"P22_node_13954";"P22_node_13956";"P22_node_13957";"P22_node_13975";"P22_node_13958";"P22_node_6714";"P22_node_5832";"P22_node_6432";"P22_node_13960";"P22_node_13961";"P22_node_6436";"P22_node_13962";"P22_node_13963";"P22_node_13978";"P22_node_13965";"P22_node_5870";"P22_node_13967";"P22_node_13995";"P22_node_11589";"P22_node_13968"
"P22_node_3832";1;0;1;1;1;1;1;0;0;0;0;1;0;1;1;0;1;1;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1;1;0;0;0
"P22_node_3850";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0
"P22_node_3852";0;1;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0
"P22_node_363";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0
"P22_node_3848";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3835";0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_381";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0
"P22_node_3853";0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1
"P22_node_871";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"P22_node_3854";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"P22_node_3836";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3847";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_3844";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"P22_node_3846";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
