"";"M22_node_2281";"M22_node_380";"M22_node_296";"M22_node_2395";"M22_node_2406";"M22_node_705";"M22_node_709";"M22_node_1765";"M22_node_2314";"M22_node_778";"M22_node_2052";"M22_node_1434";"M22_node_600";"M22_node_2407";"M22_node_2053"
"M22_node_191";1;1;1;1;0;1;1;1;0;1;0;0;0;0;0
"M22_node_1706";1;0;1;1;0;1;1;0;1;0;0;0;0;1;0
"M22_node_1146";1;1;1;0;0;1;1;0;0;0;0;1;1;0;0
"M22_node_1528";1;1;1;0;1;1;1;0;1;0;1;0;0;0;0
"M22_node_2161";1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_577";1;1;1;1;1;0;0;1;1;0;0;0;0;0;0
"M22_node_1465";1;1;0;1;0;1;0;1;0;0;0;0;0;0;0
"M22_node_1531";0;1;0;1;0;1;1;0;0;0;0;0;0;0;0
"M22_node_412";1;1;0;0;1;1;1;0;0;0;0;0;0;0;0
"M22_node_1475";1;1;1;0;1;0;0;0;1;0;0;1;0;0;0
"M22_node_868";0;0;1;0;0;0;0;0;1;0;0;0;0;0;1
"M22_node_2003";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_2030";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
"M22_node_1407";1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
"M22_node_2433";0;1;1;0;0;0;1;0;0;0;0;0;0;0;0
"M22_node_48";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_1747";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_1321";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_2149";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_2087";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
