"";"WOL_node_4373";"WOL_node_86";"WOL_node_376";"WOL_node_1446";"WOL_node_1447";"WOL_node_1449";"WOL_node_1635";"WOL_node_2204";"WOL_node_4755";"WOL_node_4756";"WOL_node_4757";"WOL_node_4932";"WOL_node_4933";"WOL_node_4934";"WOL_node_5364";"WOL_node_5439";"WOL_node_5518";"WOL_node_5625";"WOL_node_5655";"WOL_node_5656";"WOL_node_6331";"WOL_node_6379";"WOL_node_6839";"WOL_node_9047";"WOL_node_9051";"WOL_node_11371";"WOL_node_11375";"WOL_node_11381";"WOL_node_11387";"WOL_node_11394";"WOL_node_11549";"WOL_node_11637";"WOL_node_11651";"WOL_node_11961";"WOL_node_12749";"WOL_node_15329";"WOL_node_15340";"WOL_node_15521";"WOL_node_10908"
"WOL_node_3944";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_1031";0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_1366";0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
"WOL_node_8052";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_906";0;1;0;1;0;1;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"WOL_node_2090";0;1;0;0;1;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0
"WOL_node_2759";0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_9213";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"WOL_node_11098";0;1;0;1;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_15417";0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
