"";"P22_node_6917";"P22_node_11751";"P22_node_6895";"P22_node_11834";"P22_node_6869";"P22_node_5195";"P22_node_5354";"P22_node_6903";"P22_node_6904";"P22_node_11835";"P22_node_11836";"P22_node_11837";"P22_node_11838";"P22_node_5124";"P22_node_10987";"P22_node_11839";"P22_node_5126";"P22_node_6906";"P22_node_6907";"P22_node_11512";"P22_node_11513";"P22_node_9003";"P22_node_11653";"P22_node_6910";"P22_node_11358";"P22_node_6912";"P22_node_11840";"P22_node_11655";"P22_node_10145";"P22_node_8489";"P22_node_11841";"P22_node_11842";"P22_node_11843";"P22_node_8491";"P22_node_11756";"P22_node_11758";"P22_node_11759";"P22_node_11844";"P22_node_11845";"P22_node_11846";"P22_node_5145";"P22_node_11816";"P22_node_11766";"P22_node_11847";"P22_node_11738";"P22_node_11682";"P22_node_11848";"P22_node_11849";"P22_node_11819";"P22_node_11850";"P22_node_11851";"P22_node_6932";"P22_node_11852";"P22_node_11853";"P22_node_11689";"P22_node_11750";"P22_node_11692";"P22_node_10203";"P22_node_11854";"P22_node_11855";"P22_node_11856";"P22_node_11701";"P22_node_11857";"P22_node_11858";"P22_node_11859";"P22_node_11860";"P22_node_11861";"P22_node_11776";"P22_node_11862";"P22_node_5165";"P22_node_8505";"P22_node_11863";"P22_node_11831";"P22_node_6945";"P22_node_11864";"P22_node_11711";"P22_node_10837";"P22_node_11714";"P22_node_11865";"P22_node_11866";"P22_node_11867";"P22_node_11868";"P22_node_11869";"P22_node_11456";"P22_node_11833";"P22_node_11870";"P22_node_11871";"P22_node_11872";"P22_node_11873";"P22_node_11642";"P22_node_10864";"P22_node_11721";"P22_node_11874";"P22_node_11875";"P22_node_11724";"P22_node_5529";"P22_node_11876";"P22_node_11790";"P22_node_5198";"P22_node_11726";"P22_node_11877"
"P22_node_2715";1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;1;1;1;1;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0
"P22_node_48";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
"P22_node_2675";0;0;1;0;0;1;1;1;0;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1
"P22_node_2722";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2723";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2724";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1145";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2185";0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"P22_node_2175";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2678";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
