"";"mangal_node_5736";"mangal_node_0090";"mangal_node_5739";"mangal_node_5738";"mangal_node_5741";"mangal_node_2815";"mangal_node_5737";"mangal_node_5789";"mangal_node_5766";"mangal_node_5742";"mangal_node_5795";"mangal_node_5740";"mangal_node_5744";"mangal_node_5756";"mangal_node_5790";"mangal_node_5763";"mangal_node_5749";"mangal_node_5751";"mangal_node_2763";"mangal_node_5873";"mangal_node_5759";"mangal_node_5745";"mangal_node_5809";"mangal_node_5788";"mangal_node_5762";"mangal_node_5747";"mangal_node_5750";"mangal_node_5769";"mangal_node_5874";"mangal_node_5753";"mangal_node_5816";"mangal_node_5754";"mangal_node_1660";"mangal_node_5755";"mangal_node_5746";"mangal_node_5828";"mangal_node_5765";"mangal_node_5836";"mangal_node_5875";"mangal_node_0089";"mangal_node_5813";"mangal_node_5792";"mangal_node_5876";"mangal_node_2796";"mangal_node_5803";"mangal_node_5877";"mangal_node_5757";"mangal_node_5820";"mangal_node_5804";"mangal_node_5758";"mangal_node_5878";"mangal_node_5806";"mangal_node_5760";"mangal_node_5807";"mangal_node_5823";"mangal_node_5825";"mangal_node_5826";"mangal_node_5761";"mangal_node_5764";"mangal_node_5879";"mangal_node_5829";"mangal_node_5880";"mangal_node_5767";"mangal_node_5830";"mangal_node_5801";"mangal_node_5810";"mangal_node_5834";"mangal_node_5881";"mangal_node_5882";"mangal_node_5835";"mangal_node_5811";"mangal_node_5768";"mangal_node_5839";"mangal_node_5771";"mangal_node_5791";"mangal_node_5841";"mangal_node_5843";"mangal_node_5883";"mangal_node_5844";"mangal_node_5845";"mangal_node_5772";"mangal_node_5773"
"mangal_node_5846";1;1;1;0;1;1;0;1;1;1;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;1;1;0;0;1;0;0;1;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;1;1;0;0
"mangal_node_5884";1;1;0;1;1;0;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"mangal_node_5851";1;0;0;1;0;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0090";0;1;1;1;1;0;1;0;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_5885";0;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_5852";1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_5886";1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_5887";1;1;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_5775";1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_5776";1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
