"";"P22_node_10743";"P22_node_9322";"P22_node_15035";"P22_node_5354";"P22_node_9329";"P22_node_9330";"P22_node_15020";"P22_node_8608";"P22_node_14958";"P22_node_5120";"P22_node_15090";"P22_node_10913";"P22_node_15056";"P22_node_10755";"P22_node_10756";"P22_node_9466";"P22_node_14351";"P22_node_14968";"P22_node_15091";"P22_node_14076";"P22_node_15092";"P22_node_15062";"P22_node_14438";"P22_node_15093";"P22_node_5207";"P22_node_15094";"P22_node_15095";"P22_node_12778";"P22_node_15096";"P22_node_15097";"P22_node_10492";"P22_node_10494";"P22_node_13843";"P22_node_14362";"P22_node_15098";"P22_node_10858";"P22_node_15099";"P22_node_15100";"P22_node_15101";"P22_node_10928";"P22_node_15102";"P22_node_14410";"P22_node_14996";"P22_node_15103";"P22_node_8617";"P22_node_14124";"P22_node_15104";"P22_node_5158";"P22_node_10376";"P22_node_11629";"P22_node_15078";"P22_node_14372";"P22_node_7077";"P22_node_15105";"P22_node_12806";"P22_node_15106";"P22_node_13834";"P22_node_9458";"P22_node_9462";"P22_node_12813";"P22_node_15083";"P22_node_13836";"P22_node_13852";"P22_node_15107";"P22_node_9475";"P22_node_7124";"P22_node_15087";"P22_node_11636";"P22_node_11637";"P22_node_15108"
"P22_node_4256";1;1;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"P22_node_4257";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4258";1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0
"P22_node_1086";1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"P22_node_4259";1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2363";0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"P22_node_4260";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"P22_node_4240";0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4261";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4262";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
