web;insectorder;insectfamily;insectgenus;insectspecies;plantfamily;plantgenus;plantspecies
adaime2017_A;diptera;tephritidae;anastrepha;coronilli;melastomataceae;bellucia;grossularioides
adaime2017_A;diptera;tephritidae;anastrepha;distincta;fabaceae;inga;edulis
adaime2017_A;diptera;tephritidae;anastrepha;fraterculus;myrtaceae;psidium;guajava
adaime2017_A;diptera;tephritidae;anastrepha;leptozona;sapotaceae;pouteria;caimito
adaime2017_A;diptera;tephritidae;anastrepha;obliqua;oxalidaceae;averrhoa;carambola
adaime2017_A;diptera;tephritidae;anastrepha;obliqua;anacardiaceae;spondias;mombin
adaime2017_A;diptera;tephritidae;bactrocera ;carambolae;oxalidaceae;averrhoa;carambola
adaime2017_A;diptera;tephritidae;bactrocera ;carambolae;malphighiaceae;malphighia;emarginata
adaime2017_A;diptera;tephritidae;bactrocera ;carambolae;myrtaceae;psidium;guajava
adaime2017_A;diptera;tephritidae;bactrocera ;carambolae;myrtaceae;syzygium;malaccense
adaime2017_A;diptera;lonchaeidae;neosilba;bella;malphighiaceae;malphighia;emarginata
adaime2017_A;diptera;lonchaeidae;neosilba;bella;myrtaceae;psidium;guajava
adaime2017_A;diptera;lonchaeidae;neosilba;bella;oxalidaceae;averrhoa;carambola
adaime2017_A;diptera;lonchaeidae;neosilba;glaberrima;annonaceae;annona;muricata
adaime2017_A;diptera;lonchaeidae;neosilba;glaberrima;oxalidaceae;averrhoa;carambola
adaime2017_A;diptera;lonchaeidae;neosilba;glaberrima;malphighiaceae;malphighia;emarginata
adaime2017_A;diptera;lonchaeidae;neosilba;glaberrima;sapotaceae;pouteria;caimito
adaime2017_A;diptera;lonchaeidae;neosilba;glaberrima;myrtaceae;psidium;guajava
adaime2017_A;diptera;lonchaeidae;neosilba;pseudozadolicha;annonaceae;annona;muricata
adaime2017_A;diptera;lonchaeidae;neosilba;pseudozadolicha;rutaceae;citrus;sinensis
adaime2017_A;diptera;lonchaeidae;neosilba;glaberrima;malphighiaceae;malphighia;emarginata
adaime2017_A;diptera;lonchaeidae;neosilba;zadolicha;annonaceae;annona;muricata
adaime2017_A;diptera;lonchaeidae;neosilba;zadolicha;oxalidaceae;averrhoa;carambola
adaime2017_A;diptera;lonchaeidae;neosilba;zadolicha;myrtaceae;psidium;guajava
adaime2017_B;diptera;tephritidae;anastrepha;coronilli;melastomataceae;bellucia;grossularioides
adaime2017_B;diptera;tephritidae;anastrepha;coronilli;melastomataceae;bellucia;imperialis
adaime2017_B;diptera;tephritidae;anastrepha;fraterculus;simaroubaceae;simaba;guinanensis
adaime2017_B;diptera;tephritidae;anastrepha;fraterculus;myrtaceae;psidium;guajava
adaime2017_B;diptera;tephritidae;anastrepha;obliqua;anacardiaceae;spondias;mombin
adaime2017_B;diptera;tephritidae;anastrepha;parishi;simaroubaceae;simaba;guinanensis
adaime2017_B;diptera;tephritidae;anastrepha;striata;fabaceae;inga;edulis
adaime2017_B;diptera;tephritidae;anastrepha;striata;myrtaceae;psidium;guajava
adaime2017_B;diptera;tephritidae;bactrocera ;carambolae;myrtaceae;psidium;guajava
adaime2017_B;diptera;tephritidae;bactrocera ;carambolae;myrtaceae;syzygium;malaccense
adaime2017_B;diptera;tephritidae;bactrocera ;carambolae;oxalidaceae;averrhoa;carambola
adaime2017_B;diptera;lonchaeidae;neosilba;glaberrima;anacardiaceae;anacardium;occidentale
adaime2017_B;diptera;lonchaeidae;neosilba;glaberrima;solanaceae;capsicum;chinense
adaime2017_B;diptera;lonchaeidae;neosilba;pseudozadolicha;anacardiaceae;anacardium;occidentale
adaime2017_B;diptera;lonchaeidae;neosilba;pseudozadolicha;cucurbitaceae;cucumis;anguria
adaime2017_B;diptera;lonchaeidae;neosilba;pseudozadolicha;myrtaceae;syzygium;malaccense
adaime2017_B;diptera;lonchaeidae;neosilba;pseudozadolicha;solanaceae;capsicum;chinense
Aldryhim1985;Hemiptera;Aphididae;Aphis;affinis;Lamiaceae;Mentha;longifolia 
Aldryhim1985;Hemiptera;Aphididae;Aphis;affinis;Lamiaceae;Mentha;piperata
Aldryhim1985;Hemiptera;Aphididae;Aphis;armoraciae;Asteracae;Helianthus;annuus
Aldryhim1985;Hemiptera;Aphididae;Aphis;craccivora;Solanaceae;Capsicum;frutescens
Aldryhim1985;Hemiptera;Aphididae;Aphis;craccivora;Solanaceae;Cestrum;nocturnum
Aldryhim1985;Hemiptera;Aphididae;Aphis;craccivora;Asparagaceae?� ;Chlorophytum;sternbergianum
Aldryhim1985;Hemiptera;Aphididae;Aphis;craccivora;Rutaceae;Citrus;
Aldryhim1985;Hemiptera;Aphididae;Aphis;craccivora;Fabaceae;Clitoria;
Aldryhim1985;Hemiptera;Aphididae;Aphis;craccivora;Cucurbitaceae;Cucurbita;pepo
Aldryhim1985;Hemiptera;Aphididae;Aphis;craccivora;Cucurbitaceae;Cucurbita;
Aldryhim1985;Hemiptera;Aphididae;Aphis;craccivora;Fabaceae;Dolichos ;lablab
Aldryhim1985;Hemiptera;Aphididae;Aphis;craccivora;Motaceae;Ficus;
Aldryhim1985;Hemiptera;Aphididae;Aphis;craccivora;Asteracae;Gazania;splendens
Aldryhim1985;Hemiptera;Aphididae;Aphis;craccivora;Oleaceae;Jasminum;sambac
