"","gateway_node_2737","gateway_node_2755","gateway_node_2015","gateway_node_2760","gateway_node_2762","gateway_node_4698","gateway_node_3579","gateway_node_3582","gateway_node_3815","gateway_node_4637","gateway_node_2014","gateway_node_4425","gateway_node_2228","gateway_node_3096","gateway_node_216","gateway_node_1070","gateway_node_1271","gateway_node_145","gateway_node_837","gateway_node_4338","gateway_node_2216","gateway_node_4885","gateway_node_2721","gateway_node_4450","gateway_node_645","gateway_node_1731","gateway_node_3457","gateway_node_1587","gateway_node_4480","gateway_node_746","gateway_node_878","gateway_node_879","gateway_node_2459","gateway_node_2953","gateway_node_3727","gateway_node_364","gateway_node_4083","gateway_node_366","gateway_node_2820","gateway_node_1466","gateway_node_2217","gateway_node_3276","gateway_node_3277","gateway_node_5168","gateway_node_4344","gateway_node_483","gateway_node_4374","gateway_node_4792","gateway_node_379","gateway_node_489","gateway_node_2700","gateway_node_4793","gateway_node_3581","gateway_node_4127","gateway_node_4714","gateway_node_3469","gateway_node_187","gateway_node_530","gateway_node_1861","gateway_node_1028","gateway_node_232","gateway_node_2483","gateway_node_4976","gateway_node_1289","gateway_node_4979","gateway_node_3834","gateway_node_1921","gateway_node_3010","gateway_node_3712","gateway_node_4146","gateway_node_4147","gateway_node_1452","gateway_node_2579","gateway_node_2861","gateway_node_2867","gateway_node_3704","gateway_node_4139","gateway_node_4140","gateway_node_4939","gateway_node_4942","gateway_node_5099","gateway_node_5101","gateway_node_5102","gateway_node_5131","gateway_node_5137","gateway_node_5139","gateway_node_5140","gateway_node_599","gateway_node_1486","gateway_node_2392","gateway_node_3553","gateway_node_3070","gateway_node_3511","gateway_node_3514","gateway_node_3517","gateway_node_3515","gateway_node_4713","gateway_node_3766","gateway_node_4940","gateway_node_4943","gateway_node_5188","gateway_node_129","gateway_node_2675","gateway_node_128","gateway_node_496","gateway_node_1324","gateway_node_3937","gateway_node_4247","gateway_node_4798","gateway_node_4388","gateway_node_528","gateway_node_1870","gateway_node_1872","gateway_node_2596","gateway_node_51","gateway_node_2045","gateway_node_3103","gateway_node_1097","gateway_node_5156","gateway_node_2048","gateway_node_936","gateway_node_4649","gateway_node_1947","gateway_node_1118","gateway_node_1564","gateway_node_655","gateway_node_3166","gateway_node_4347","gateway_node_157","gateway_node_490","gateway_node_486","gateway_node_2530","gateway_node_181","gateway_node_1117","gateway_node_1339","gateway_node_2567","gateway_node_3928","gateway_node_4346","gateway_node_4348"
"gateway_node_2737",0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1
"gateway_node_2755",1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
"gateway_node_2015",1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1
"gateway_node_2760",1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0
"gateway_node_2762",1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0
"gateway_node_4698",1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0
"gateway_node_3579",1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
"gateway_node_3582",1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
"gateway_node_3815",1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"gateway_node_4637",1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
