"","gateway_node_1847","gateway_node_3763","gateway_node_1381","gateway_node_2496","gateway_node_5021","gateway_node_2314","gateway_node_457","gateway_node_3014","gateway_node_1275","gateway_node_3993","gateway_node_1141","gateway_node_1988","gateway_node_3992","gateway_node_1987","gateway_node_4965","gateway_node_3118","gateway_node_630","gateway_node_2494","gateway_node_1703","gateway_node_1022","gateway_node_892","gateway_node_1325","gateway_node_1374","gateway_node_1150","gateway_node_3356","gateway_node_1845","gateway_node_4742","gateway_node_3475","gateway_node_1233","gateway_node_1234","gateway_node_2133","gateway_node_2841","gateway_node_2909","gateway_node_1446","gateway_node_1448","gateway_node_4595","gateway_node_4429","gateway_node_1560","gateway_node_4421","gateway_node_637","gateway_node_3002","gateway_node_3003","gateway_node_998","gateway_node_3196","gateway_node_4756"
"gateway_node_1847",0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0
"gateway_node_3763",1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
"gateway_node_1381",1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
"gateway_node_2496",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_5021",1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
"gateway_node_2314",1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_457",1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"gateway_node_3014",1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
"gateway_node_1275",1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
"gateway_node_3993",1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
