"","gateway_node_5232","gateway_node_3185","gateway_node_2079","gateway_node_105","gateway_node_3673","gateway_node_2718","gateway_node_1190","gateway_node_3740","gateway_node_2031","gateway_node_3201","gateway_node_282","gateway_node_3379","gateway_node_3890","gateway_node_5063","gateway_node_1314","gateway_node_1432","gateway_node_456","gateway_node_1571","gateway_node_2470","gateway_node_2282","gateway_node_981","gateway_node_3653","gateway_node_1427"
"gateway_node_5232",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_3185",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"gateway_node_2079",1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1
"gateway_node_105",0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1
"gateway_node_3673",0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1
"gateway_node_2718",0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"gateway_node_1190",1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1
"gateway_node_3740",1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
"gateway_node_2031",0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1
"gateway_node_3201",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"gateway_node_282",0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"gateway_node_3379",0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
"gateway_node_3890",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_5063",0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"gateway_node_1314",0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"gateway_node_1432",0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"gateway_node_456",0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"gateway_node_1571",0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"gateway_node_2470",0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"gateway_node_2282",0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"gateway_node_981",0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"gateway_node_3653",0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"gateway_node_1427",0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
