"","gateway_node_1972","gateway_node_5232","gateway_node_4001","gateway_node_2229","gateway_node_3574","gateway_node_2169","gateway_node_244","gateway_node_610","gateway_node_4574","gateway_node_3185","gateway_node_4662","gateway_node_3267","gateway_node_3303","gateway_node_805","gateway_node_2079","gateway_node_4779","gateway_node_105","gateway_node_3264","gateway_node_3638","gateway_node_2423","gateway_node_3455","gateway_node_563","gateway_node_3378","gateway_node_4735","gateway_node_2031","gateway_node_3850","gateway_node_757","gateway_node_3890","gateway_node_5063","gateway_node_5064","gateway_node_1125","gateway_node_2198","gateway_node_4033","gateway_node_2469","gateway_node_1948"
"gateway_node_1972",0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1
"gateway_node_5232",1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0
"gateway_node_4001",1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
"gateway_node_2229",1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1
"gateway_node_3574",0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
"gateway_node_2169",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1
"gateway_node_244",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_610",0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
"gateway_node_4574",0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"gateway_node_3185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
