"","gateway_node_143","gateway_node_1352","gateway_node_3296","gateway_node_1008","gateway_node_4758","gateway_node_3029","gateway_node_3021","gateway_node_4840","gateway_node_4691","gateway_node_3698","gateway_node_413","gateway_node_2901","gateway_node_3910","gateway_node_2260","gateway_node_5060","gateway_node_409","gateway_node_553","gateway_node_1420","gateway_node_4886","gateway_node_2958","gateway_node_4596","gateway_node_3812","gateway_node_952","gateway_node_1252","gateway_node_3206","gateway_node_815","gateway_node_3027","gateway_node_2773","gateway_node_5053","gateway_node_5130","gateway_node_220","gateway_node_689","gateway_node_5046","gateway_node_3748","gateway_node_3406","gateway_node_3589","gateway_node_1545","gateway_node_1544","gateway_node_2720","gateway_node_1580","gateway_node_588","gateway_node_1536","gateway_node_2513","gateway_node_4187","gateway_node_5012","gateway_node_390","gateway_node_2661","gateway_node_722","gateway_node_817","gateway_node_585","gateway_node_4490","gateway_node_695","gateway_node_3606","gateway_node_1946","gateway_node_521","gateway_node_1500","gateway_node_325","gateway_node_2507","gateway_node_2665","gateway_node_650","gateway_node_5008","gateway_node_1984","gateway_node_448","gateway_node_3841","gateway_node_383","gateway_node_4445","gateway_node_3309","gateway_node_858","gateway_node_3757","gateway_node_723","gateway_node_1537","gateway_node_2283","gateway_node_2427","gateway_node_520","gateway_node_3839","gateway_node_1607","gateway_node_1716","gateway_node_4772","gateway_node_2064","gateway_node_524","gateway_node_326","gateway_node_358","gateway_node_4634","gateway_node_444","gateway_node_4164","gateway_node_2533","gateway_node_2557","gateway_node_147","gateway_node_3559","gateway_node_3479","gateway_node_4482","gateway_node_3086","gateway_node_4893","gateway_node_4510","gateway_node_3556","gateway_node_2968","gateway_node_5029","gateway_node_5039","gateway_node_415","gateway_node_3550","gateway_node_475","gateway_node_3592","gateway_node_1706","gateway_node_1279","gateway_node_1309","gateway_node_2637","gateway_node_591","gateway_node_750","gateway_node_748","gateway_node_1524","gateway_node_2918","gateway_node_2976","gateway_node_4391","gateway_node_3677","gateway_node_4389","gateway_node_1153","gateway_node_3558","gateway_node_1482","gateway_node_3427","gateway_node_173","gateway_node_121","gateway_node_2794","gateway_node_749","gateway_node_1120","gateway_node_3254","gateway_node_3782","gateway_node_1667","gateway_node_4235","gateway_node_1965","gateway_node_1209","gateway_node_1778","gateway_node_1003","gateway_node_3709","gateway_node_4331","gateway_node_101","gateway_node_1862","gateway_node_19","gateway_node_1005","gateway_node_2630","gateway_node_947","gateway_node_3415","gateway_node_2986","gateway_node_2486","gateway_node_3317","gateway_node_4407","gateway_node_5117","gateway_node_3591","gateway_node_5191","gateway_node_3292","gateway_node_4708","gateway_node_3434","gateway_node_4143","gateway_node_3113","gateway_node_4795","gateway_node_651","gateway_node_4990","gateway_node_1243","gateway_node_896","gateway_node_4154","gateway_node_615","gateway_node_2882","gateway_node_4422","gateway_node_834","gateway_node_4099","gateway_node_2208","gateway_node_4999","gateway_node_4845","gateway_node_179","gateway_node_3686","gateway_node_4810","gateway_node_2712","gateway_node_4181","gateway_node_350","gateway_node_3742","gateway_node_3063","gateway_node_592","gateway_node_3979","gateway_node_4768","gateway_node_4848","gateway_node_3261","gateway_node_4299","gateway_node_1763","gateway_node_399","gateway_node_332","gateway_node_2963","gateway_node_2312","gateway_node_3316","gateway_node_1622","gateway_node_111","gateway_node_1245","gateway_node_2965","gateway_node_4113","gateway_node_812","gateway_node_445","gateway_node_291","gateway_node_2840","gateway_node_3433","gateway_node_408","gateway_node_2550","gateway_node_5055","gateway_node_3751","gateway_node_3557","gateway_node_4157","gateway_node_182","gateway_node_1516","gateway_node_2400","gateway_node_3023","gateway_node_5093","gateway_node_3988","gateway_node_1365","gateway_node_4300"
"gateway_node_143",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"gateway_node_1352",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"gateway_node_3296",1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1
"gateway_node_1008",1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"gateway_node_4758",1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"gateway_node_3029",1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1
"gateway_node_3021",1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
"gateway_node_4840",1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"gateway_node_4691",1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1
"gateway_node_3698",1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1
