"","gateway_node_2409","gateway_node_1847","gateway_node_2606","gateway_node_4124","gateway_node_823","gateway_node_3763","gateway_node_1162","gateway_node_1326","gateway_node_1328","gateway_node_1329","gateway_node_1381","gateway_node_2493","gateway_node_2496","gateway_node_2491","gateway_node_5021","gateway_node_457","gateway_node_2314","gateway_node_3014","gateway_node_1277","gateway_node_4964","gateway_node_450","gateway_node_1141","gateway_node_1647","gateway_node_4967","gateway_node_1988","gateway_node_3992","gateway_node_3991","gateway_node_630","gateway_node_1139","gateway_node_4739","gateway_node_2622","gateway_node_1119","gateway_node_1374","gateway_node_1150","gateway_node_3075","gateway_node_3074","gateway_node_4383","gateway_node_3571","gateway_node_4505","gateway_node_1161","gateway_node_3356","gateway_node_596","gateway_node_1845","gateway_node_3475","gateway_node_1233","gateway_node_2133","gateway_node_2909","gateway_node_1891","gateway_node_1443","gateway_node_1446","gateway_node_4595","gateway_node_4763","gateway_node_1004","gateway_node_4241","gateway_node_3247","gateway_node_4623","gateway_node_1011","gateway_node_465","gateway_node_439","gateway_node_1560","gateway_node_335","gateway_node_1281","gateway_node_4280","gateway_node_1108","gateway_node_258","gateway_node_637","gateway_node_3003","gateway_node_998","gateway_node_3776","gateway_node_3777","gateway_node_876","gateway_node_3196"
"gateway_node_2409",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_1847",0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"gateway_node_2606",0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"gateway_node_4124",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_823",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_3763",0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0
"gateway_node_1162",0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1
"gateway_node_1326",0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"gateway_node_1328",0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
"gateway_node_1329",0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1
