"","mangal_node_4097","mangal_node_5293","mangal_node_0467","mangal_node_0368","mangal_node_5290","mangal_node_5291","mangal_node_0668","mangal_node_5292","mangal_node_3861","mangal_node_0434","mangal_node_5289","mangal_node_0664","mangal_node_4096","mangal_node_5294","mangal_node_0911","mangal_node_0912","mangal_node_0910","mangal_node_0256","mangal_node_0090","mangal_node_3606"
"mangal_node_4097",0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0
"mangal_node_5293",1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0
"mangal_node_0467",1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
"mangal_node_0368",0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0
"mangal_node_5290",1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0
"mangal_node_5291",1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0
"mangal_node_0668",0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0
"mangal_node_5292",1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1
"mangal_node_3861",1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1
"mangal_node_0434",1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0
"mangal_node_5289",0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"mangal_node_0664",1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0
"mangal_node_4096",0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0
"mangal_node_5294",1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1
"mangal_node_0911",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_0912",0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"mangal_node_0910",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
"mangal_node_0256",0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0
"mangal_node_0090",0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0
"mangal_node_3606",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
