"","mangal_node_0652","mangal_node_0470","mangal_node_4800","mangal_node_4801","mangal_node_4798","mangal_node_0458","mangal_node_0090","mangal_node_0646","mangal_node_4802","mangal_node_4799","mangal_node_0471","mangal_node_4327","mangal_node_0467","mangal_node_4796","mangal_node_3886","mangal_node_0483","mangal_node_4795","mangal_node_4797","mangal_node_0899","mangal_node_0763"
"mangal_node_0652",0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"mangal_node_0470",1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0
"mangal_node_4800",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"mangal_node_4801",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"mangal_node_4798",1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_0458",0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"mangal_node_0090",1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0
"mangal_node_0646",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_4802",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_4799",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_0471",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_4327",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_0467",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_4796",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_3886",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_0483",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_4795",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"mangal_node_4797",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"mangal_node_0899",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_0763",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
