"","mangal_node_3905","mangal_node_3908","mangal_node_3913","mangal_node_3906","mangal_node_0090","mangal_node_3914","mangal_node_3915","mangal_node_3934","mangal_node_3921","mangal_node_3935","mangal_node_3931","mangal_node_3910","mangal_node_3932","mangal_node_3909","mangal_node_3904","mangal_node_0668","mangal_node_3912","mangal_node_0709","mangal_node_3933","mangal_node_3927","mangal_node_3916","mangal_node_0594"
"mangal_node_3905",0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0
"mangal_node_3908",1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"mangal_node_3913",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"mangal_node_3906",0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"mangal_node_0090",1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1
"mangal_node_3914",1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"mangal_node_3915",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"mangal_node_3934",1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
"mangal_node_3921",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"mangal_node_3935",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_3931",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_3910",1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"mangal_node_3932",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_3909",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_3904",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_0668",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_3912",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_0709",0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"mangal_node_3933",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_3927",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_3916",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_0594",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
