"","gateway_node_226","gateway_node_331","gateway_node_329","gateway_node_346","gateway_node_387","gateway_node_474","gateway_node_509","gateway_node_517","gateway_node_558","gateway_node_1184","gateway_node_3197","gateway_node_2922","gateway_node_1726","gateway_node_4790","gateway_node_3909","gateway_node_1217","gateway_node_4683","gateway_node_4026","gateway_node_1216","gateway_node_4785","gateway_node_4788","gateway_node_1121","gateway_node_1197","gateway_node_1340","gateway_node_1668","gateway_node_2245","gateway_node_2326","gateway_node_2337","gateway_node_2338","gateway_node_2354","gateway_node_2358","gateway_node_2360","gateway_node_2361","gateway_node_2951","gateway_node_3307","gateway_node_3440","gateway_node_3443","gateway_node_3451","gateway_node_3467","gateway_node_3568","gateway_node_3526","gateway_node_3833","gateway_node_3968","gateway_node_4031","gateway_node_4077","gateway_node_4186","gateway_node_4220","gateway_node_4226","gateway_node_4436","gateway_node_4659","gateway_node_4783","gateway_node_4915","gateway_node_5211","gateway_node_5216","gateway_node_286","gateway_node_1958","gateway_node_2073","gateway_node_3695","gateway_node_4373","gateway_node_5079","gateway_node_4827","gateway_node_5075","gateway_node_3927","gateway_node_79","gateway_node_81","gateway_node_1094","gateway_node_1281","gateway_node_1295","gateway_node_1296","gateway_node_1299","gateway_node_1398","gateway_node_1649","gateway_node_1651","gateway_node_1750","gateway_node_1893","gateway_node_1895","gateway_node_2088","gateway_node_2092","gateway_node_2102","gateway_node_2104","gateway_node_2982","gateway_node_2984","gateway_node_3212","gateway_node_3220","gateway_node_3342","gateway_node_3904","gateway_node_3905","gateway_node_4318","gateway_node_4720","gateway_node_4745","gateway_node_4764","gateway_node_2538","gateway_node_4183","gateway_node_1297","gateway_node_2093","gateway_node_3343","gateway_node_83","gateway_node_616","gateway_node_1069","gateway_node_2101","gateway_node_3247","gateway_node_3423","gateway_node_4323","gateway_node_3001","gateway_node_82","gateway_node_4743","gateway_node_1927","gateway_node_3244","gateway_node_499","gateway_node_4421"
"gateway_node_226",0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"gateway_node_331",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_329",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_346",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"gateway_node_387",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"gateway_node_474",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_509",0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"gateway_node_517",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_558",0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"gateway_node_1184",0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
