"","mangal_node_0258","mangal_node_0259","mangal_node_0090","mangal_node_0367","mangal_node_0295","mangal_node_0232","mangal_node_0266","mangal_node_0234","mangal_node_0237","mangal_node_0372","mangal_node_0267","mangal_node_0330","mangal_node_0269","mangal_node_0239","mangal_node_0307","mangal_node_0310","mangal_node_0298","mangal_node_0271","mangal_node_0311","mangal_node_0343","mangal_node_0240","mangal_node_0272","mangal_node_0312","mangal_node_0377","mangal_node_0300","mangal_node_0382","mangal_node_0301","mangal_node_0381","mangal_node_0261","mangal_node_0354","mangal_node_0273","mangal_node_0274","mangal_node_0333","mangal_node_0275","mangal_node_0378","mangal_node_0242","mangal_node_0243","mangal_node_0380","mangal_node_0283","mangal_node_0284","mangal_node_0287","mangal_node_0379","mangal_node_0248","mangal_node_0251","mangal_node_0289","mangal_node_0304"
"mangal_node_0258",0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0
"mangal_node_0259",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0
"mangal_node_0090",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1
"mangal_node_0367",1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
"mangal_node_0295",1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0
"mangal_node_0232",1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
"mangal_node_0266",1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"mangal_node_0234",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_0237",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"mangal_node_0372",0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
