"","gateway_node_243","gateway_node_963","gateway_node_2367","gateway_node_2448","gateway_node_2648","gateway_node_3946","gateway_node_4547","gateway_node_4551","gateway_node_4784","gateway_node_4373","gateway_node_1200","gateway_node_1878","gateway_node_1400","gateway_node_1739","gateway_node_1743","gateway_node_1747","gateway_node_1879","gateway_node_3789","gateway_node_3906","gateway_node_4764","gateway_node_3435"
"gateway_node_243",0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1
"gateway_node_963",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
"gateway_node_2367",1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0
"gateway_node_2448",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"gateway_node_2648",1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0
"gateway_node_3946",1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"gateway_node_4547",0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
"gateway_node_4551",1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
"gateway_node_4784",1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"gateway_node_4373",0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0
"gateway_node_1200",0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_1878",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_1400",1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_1739",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"gateway_node_1743",0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
"gateway_node_1747",1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"gateway_node_1879",1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"gateway_node_3789",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_3906",1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"gateway_node_4764",0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"gateway_node_3435",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
