"","mangal_node_0368","mangal_node_0255","mangal_node_0090","mangal_node_0258","mangal_node_0259","mangal_node_0352","mangal_node_0263","mangal_node_0264","mangal_node_0295","mangal_node_0232","mangal_node_0369","mangal_node_0266","mangal_node_0234","mangal_node_0235","mangal_node_0236","mangal_node_0267","mangal_node_0330","mangal_node_0269","mangal_node_0239","mangal_node_0341","mangal_node_0342","mangal_node_0298","mangal_node_0260","mangal_node_0261","mangal_node_0331","mangal_node_0271","mangal_node_0299","mangal_node_0343","mangal_node_0272","mangal_node_0312","mangal_node_0370","mangal_node_0344","mangal_node_0273","mangal_node_0244","mangal_node_0249","mangal_node_0242","mangal_node_0243","mangal_node_0245","mangal_node_0278","mangal_node_0246","mangal_node_0279","mangal_node_0281","mangal_node_0283","mangal_node_0314","mangal_node_0315","mangal_node_0365","mangal_node_0371","mangal_node_0317","mangal_node_0248","mangal_node_0289","mangal_node_0319","mangal_node_0320","mangal_node_0254","mangal_node_0305","mangal_node_0292"
"mangal_node_0368",0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_0255",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_0090",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0
"mangal_node_0258",1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"mangal_node_0259",0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0
"mangal_node_0352",0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
"mangal_node_0263",0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"mangal_node_0264",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0
"mangal_node_0295",0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
"mangal_node_0232",0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
