"","WOL_node_15718","WOL_node_3919","WOL_node_9770","WOL_node_9826","WOL_node_1530","WOL_node_7964","WOL_node_7685","WOL_node_1452","WOL_node_7975","WOL_node_4603","WOL_node_12075","WOL_node_5971","WOL_node_8787","WOL_node_1626","WOL_node_6521","WOL_node_1856","WOL_node_3894","WOL_node_5953","WOL_node_10215","WOL_node_2275","WOL_node_5603","WOL_node_11677","WOL_node_1327","WOL_node_11449","WOL_node_6591","WOL_node_5484","WOL_node_11847","WOL_node_9848","WOL_node_10731","WOL_node_3893","WOL_node_4604","WOL_node_9031","WOL_node_3895","WOL_node_10214","WOL_node_12076","WOL_node_5740","WOL_node_7950","WOL_node_7417","WOL_node_1527","WOL_node_10213","WOL_node_5178","WOL_node_12592","WOL_node_5952","WOL_node_1536","WOL_node_5604","WOL_node_10720","WOL_node_5179","WOL_node_11792"
"WOL_node_15718",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"WOL_node_3919",0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0
"WOL_node_9770",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"WOL_node_9826",0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"WOL_node_1530",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"WOL_node_7964",0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"WOL_node_7685",0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_1452",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_7975",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"WOL_node_4603",0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0
