"","gateway_node_2423","gateway_node_5034","gateway_node_477","gateway_node_4001","gateway_node_3646","gateway_node_2078","gateway_node_2079","gateway_node_5232","gateway_node_1972","gateway_node_777","gateway_node_3147","gateway_node_807","gateway_node_636","gateway_node_1151","gateway_node_1017","gateway_node_502","gateway_node_4367","gateway_node_3264","gateway_node_3435","gateway_node_3185","gateway_node_3665","gateway_node_463","gateway_node_3499","gateway_node_3673","gateway_node_2719","gateway_node_2718","gateway_node_1190","gateway_node_105","gateway_node_106","gateway_node_22","gateway_node_2592","gateway_node_2618","gateway_node_3741","gateway_node_3738","gateway_node_3740","gateway_node_2031","gateway_node_4335","gateway_node_3455","gateway_node_563","gateway_node_356","gateway_node_4598","gateway_node_4662","gateway_node_3645","gateway_node_3916","gateway_node_282","gateway_node_131","gateway_node_5040","gateway_node_3267","gateway_node_2846","gateway_node_3890","gateway_node_5063","gateway_node_1104","gateway_node_1125","gateway_node_606","gateway_node_1314","gateway_node_1936","gateway_node_4590","gateway_node_456","gateway_node_1571","gateway_node_2769"
"gateway_node_2423",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"gateway_node_5034",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
"gateway_node_477",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"gateway_node_4001",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
"gateway_node_3646",1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0
"gateway_node_2078",1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0
"gateway_node_2079",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0
"gateway_node_5232",0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0
"gateway_node_1972",0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0
"gateway_node_777",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
"gateway_node_3147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"gateway_node_807",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
