"","gateway_node_1847","gateway_node_2496","gateway_node_2490","gateway_node_2491","gateway_node_1326","gateway_node_1381","gateway_node_2314","gateway_node_3118","gateway_node_630","gateway_node_4739","gateway_node_1119","gateway_node_1374","gateway_node_1150","gateway_node_5021","gateway_node_1715","gateway_node_3014","gateway_node_4380","gateway_node_596","gateway_node_1845","gateway_node_1233","gateway_node_2909","gateway_node_296","gateway_node_3777","gateway_node_3196"
"gateway_node_1847",0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1
"gateway_node_2496",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"gateway_node_2490",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"gateway_node_2491",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"gateway_node_1326",1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"gateway_node_1381",1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1
"gateway_node_2314",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"gateway_node_3118",1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"gateway_node_630",1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1
"gateway_node_4739",1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
"gateway_node_1119",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1
"gateway_node_1374",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"gateway_node_1150",0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
"gateway_node_5021",1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1
"gateway_node_1715",0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1
"gateway_node_3014",1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1
"gateway_node_4380",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_596",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_1845",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"gateway_node_1233",1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1
"gateway_node_2909",1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"gateway_node_296",1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"gateway_node_3777",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"gateway_node_3196",1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0
