"","gateway_node_243","gateway_node_535","gateway_node_652","gateway_node_963","gateway_node_974","gateway_node_1416","gateway_node_1523","gateway_node_1573","gateway_node_1582","gateway_node_2342","gateway_node_2448","gateway_node_2647","gateway_node_2648","gateway_node_2681","gateway_node_3549","gateway_node_3947","gateway_node_4134","gateway_node_4293","gateway_node_4327","gateway_node_4540","gateway_node_4551","gateway_node_4917","gateway_node_4373","gateway_node_1200","gateway_node_1878","gateway_node_70","gateway_node_71","gateway_node_72","gateway_node_1399","gateway_node_1739","gateway_node_1743","gateway_node_1751","gateway_node_1895","gateway_node_2092","gateway_node_2201","gateway_node_4741","gateway_node_4764"
"gateway_node_243",0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"gateway_node_535",1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0
"gateway_node_652",1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0
"gateway_node_963",0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1
"gateway_node_974",0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
"gateway_node_1416",0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
"gateway_node_1523",0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
"gateway_node_1573",0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1
"gateway_node_1582",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
"gateway_node_2342",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
