"","mangal_node_3607","mangal_node_0933","mangal_node_0941","mangal_node_3617","mangal_node_3594","mangal_node_0942","mangal_node_3609","mangal_node_3619","mangal_node_3610","mangal_node_3612","mangal_node_3615","mangal_node_3608","mangal_node_0637","mangal_node_3611","mangal_node_0943","mangal_node_3623","mangal_node_3624","mangal_node_3616","mangal_node_0090","mangal_node_3626","mangal_node_3627","mangal_node_0448"
"mangal_node_3607",0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"mangal_node_0933",0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"mangal_node_0941",1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1
"mangal_node_3617",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"mangal_node_3594",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"mangal_node_0942",1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1
"mangal_node_3609",1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1
"mangal_node_3619",0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
"mangal_node_3610",0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"mangal_node_3612",0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"mangal_node_3615",0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
"mangal_node_3608",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"mangal_node_0637",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
"mangal_node_3611",0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0
"mangal_node_0943",1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0
"mangal_node_3623",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"mangal_node_3624",0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"mangal_node_3616",0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1
"mangal_node_0090",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1
"mangal_node_3626",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"mangal_node_3627",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_0448",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
