"","gateway_node_246","gateway_node_346","gateway_node_387","gateway_node_515","gateway_node_518","gateway_node_5083","gateway_node_2538","gateway_node_2922","gateway_node_1726","gateway_node_3909","gateway_node_3197","gateway_node_3976","gateway_node_4026","gateway_node_4786","gateway_node_1121","gateway_node_1197","gateway_node_1340","gateway_node_2245","gateway_node_2325","gateway_node_2339","gateway_node_2341","gateway_node_2347","gateway_node_2357","gateway_node_3194","gateway_node_3440","gateway_node_3443","gateway_node_3444","gateway_node_3451","gateway_node_2350","gateway_node_3594","gateway_node_3833","gateway_node_4031","gateway_node_4077","gateway_node_4186","gateway_node_4222","gateway_node_4224","gateway_node_4438","gateway_node_4437","gateway_node_4782","gateway_node_5211","gateway_node_4373","gateway_node_5075","gateway_node_2896","gateway_node_3126","gateway_node_65","gateway_node_1094","gateway_node_1297","gateway_node_1299","gateway_node_1748","gateway_node_1895","gateway_node_1927","gateway_node_2094","gateway_node_2101","gateway_node_2104","gateway_node_497","gateway_node_3001","gateway_node_3220","gateway_node_3247","gateway_node_3343","gateway_node_5061","gateway_node_67","gateway_node_74","gateway_node_1281","gateway_node_1295","gateway_node_1398","gateway_node_1749","gateway_node_2103","gateway_node_3244","gateway_node_3901","gateway_node_3905","gateway_node_4764","gateway_node_1069","gateway_node_3077","gateway_node_4829","gateway_node_2105","gateway_node_3342","gateway_node_4743","gateway_node_4745","gateway_node_1649","gateway_node_3212","gateway_node_616","gateway_node_1893","gateway_node_2088","gateway_node_4318","gateway_node_5084","gateway_node_4323","gateway_node_4723","gateway_node_466","gateway_node_3217","gateway_node_1296","gateway_node_4715","gateway_node_2984","gateway_node_4643","gateway_node_255","gateway_node_4183"
"gateway_node_246",0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_346",1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"gateway_node_387",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_515",0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_518",1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_5083",0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_2538",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_2922",0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_1726",1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_3909",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
