"","mangal_node_4878","mangal_node_4879","mangal_node_4880","mangal_node_0090","mangal_node_4881","mangal_node_4882","mangal_node_4883","mangal_node_4884","mangal_node_4885","mangal_node_4886","mangal_node_4227","mangal_node_3886","mangal_node_0091","mangal_node_4605","mangal_node_4875","mangal_node_4876","mangal_node_0370","mangal_node_4877","mangal_node_4887","mangal_node_4892","mangal_node_0646","mangal_node_0688","mangal_node_4874","mangal_node_4889","mangal_node_4909","mangal_node_4593","mangal_node_0783","mangal_node_0560","mangal_node_0030","mangal_node_4888","mangal_node_0816","mangal_node_4893","mangal_node_4903","mangal_node_4904","mangal_node_4905","mangal_node_4906","mangal_node_4907","mangal_node_4551","mangal_node_4908","mangal_node_4559","mangal_node_4913","mangal_node_4899","mangal_node_3899","mangal_node_4212","mangal_node_0041","mangal_node_4895","mangal_node_4891","mangal_node_4896","mangal_node_0812","mangal_node_4897","mangal_node_4901","mangal_node_4917","mangal_node_4920","mangal_node_0800","mangal_node_4902","mangal_node_4922","mangal_node_4923","mangal_node_4925","mangal_node_3915","mangal_node_4924","mangal_node_4860","mangal_node_4921","mangal_node_4257","mangal_node_4262","mangal_node_3616","mangal_node_4046","mangal_node_0339","mangal_node_4194","mangal_node_4910","mangal_node_4911","mangal_node_4890","mangal_node_4912","mangal_node_4894","mangal_node_4863","mangal_node_0050","mangal_node_4871","mangal_node_4861","mangal_node_0054","mangal_node_4914","mangal_node_4915","mangal_node_4916","mangal_node_4900","mangal_node_4918","mangal_node_4919","mangal_node_0448","mangal_node_4582","mangal_node_4898"
"mangal_node_4878",0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_4879",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_4880",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"mangal_node_0090",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0
"mangal_node_4881",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_4882",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"mangal_node_4883",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_4884",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"mangal_node_4885",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mangal_node_4886",0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
